Avalanche Magnitude, Number Avalanches
4, 333701
5, 1246152
6, 1127056
7, 652316
8, 490780
9, 400066
10, 401082
11, 588098
12, 384250
13, 225785
14, 221774
15, 154935
16, 197644
17, 255011
18, 298939
19, 115276
20, 117458
21, 81508
22, 135600
23, 99017
24, 109639
25, 75885
26, 177275
27, 86044
28, 135416
29, 141
30, 58599
31, 2834
32, 25575
33, 24426
34, 19554
35, 1807
36, 42644
37, 1476
38, 26685
39, 20241
40, 32005
41, 985
42, 39682
43, 851
44, 22948
45, 22318
46, 11157
47, 494
48, 42257
49, 405
50, 12580
51, 15596
52, 22253
53, 272
54, 18860
55, 2261
56, 22306
57, 9290
58, 11000
59, 181
60, 27565
61, 97
62, 1517
63, 11093
64, 12432
65, 5774
66, 12684
67, 62
68, 12231
69, 8396
70, 8671
71, 44
72, 18038
73, 32
74, 1521
75, 12827
76, 9313
77, 33
78, 8250
79, 17
80, 14377
81, 5000
82, 1247
83, 7
84, 13537
85, 6239
86, 1208
87, 4240
88, 6326
89, 8
90, 15258
91, 137
92, 6512
93, 2150
94, 998
95, 5684
96, 11722
97, 6
98, 1250
99, 833
100, 10449
102, 6532
103, 2
104, 4313
105, 6316
106, 604
107, 1
108, 9305
110, 4355
111, 756
112, 5125
114, 6029
115, 3292
116, 2897
117, 736
118, 411
119, 2877
120, 10819
122, 327
123, 701
124, 2570
125, 3044
126, 8759
128, 2007
129, 722
130, 3062
132, 5581
133, 3663
134, 219
135, 3330
136, 1527
138, 4243
140, 6643
141, 653
142, 146
144, 5635
145, 1799
146, 117
147, 4373
148, 491
150, 4834
152, 2573
153, 687
154, 3657
155, 1449
156, 3367
158, 90
159, 502
160, 4520
161, 3297
162, 3032
164, 477
165, 1461
166, 32
168, 8789
170, 682
171, 1027
172, 442
174, 2346
175, 3107
176, 3456
177, 394
178, 31
180, 3899
182, 2290
183, 350
184, 3372
185, 288
186, 1724
188, 400
189, 4048
190, 405
192, 4731
194, 15
195, 567
196, 2194
198, 3464
200, 3621
201, 234
202, 6
203, 1684
204, 1455
205, 230
206, 10
207, 2521
208, 2746
209, 12
210, 3174
212, 386
213, 200
214, 2
215, 230
216, 5600
217, 1396
218, 4
219, 175
220, 1567
222, 455
224, 3322
225, 2878
226, 4
228, 717
230, 1606
231, 1344
232, 2027
234, 2691
235, 235
236, 332
237, 107
238, 950
240, 4064
242, 278
243, 2271
244, 295
245, 1016
246, 279
248, 1635
249, 103
250, 2129
252, 3226
253, 480
254, 1
255, 299
256, 1510
258, 253
259, 466
260, 2599
261, 1856
264, 2439
265, 220
266, 348
267, 49
268, 221
270, 4252
272, 1236
273, 289
274, 2
275, 1327
276, 548
279, 1464
280, 3489
282, 214
284, 181
285, 278
286, 1334
287, 191
288, 2666
290, 2072
291, 43
292, 170
294, 375
295, 194
296, 779
297, 2801
299, 17
300, 2811
301, 155
303, 18
304, 626
305, 201
306, 1210
308, 2125
309, 21
310, 1879
312, 1430
315, 1261
316, 148
318, 187
319, 1762
320, 1930
321, 11
322, 180
324, 2062
325, 289
327, 10
328, 348
329, 149
330, 3266
332, 95
333, 683
335, 147
336, 1796
338, 208
339, 4
340, 1321
341, 1640
342, 814
343, 153
344, 273
345, 157
348, 1645
350, 1297
351, 853
352, 1698
354, 160
355, 154
356, 72
357, 153
360, 3288
363, 1404
364, 829
365, 137
366, 165
368, 195
369, 307
370, 952
371, 145
372, 1760
374, 1285
375, 132
376, 169
377, 838
378, 628
380, 878
381, 3
384, 1865
385, 1337
387, 217
388, 47
390, 1905
392, 521
393, 2
395, 126
396, 2671
399, 147
400, 721
402, 165
403, 1239
404, 26
405, 291
406, 430
407, 811
408, 1637
410, 499
411, 1
412, 45
413, 118
414, 286
415, 105
416, 1428
417, 2
418, 787
420, 2473
423, 139
424, 156
425, 76
426, 151
427, 122
428, 18
429, 1971
430, 325
432, 1492
434, 811
435, 173
436, 10
438, 141
440, 983
441, 248
442, 1337
444, 1175
445, 70
448, 1168
450, 684
451, 543
452, 19
455, 1520
456, 1245
459, 104
460, 228
462, 1657
464, 118
465, 371
468, 2196
469, 124
470, 166
472, 109
473, 334
474, 97
475, 60
476, 1296
477, 112
480, 1579
481, 1037
483, 123
484, 285
485, 44
486, 215
488, 114
490, 1411
492, 767
493, 1
494, 961
495, 989
496, 185
497, 123
498, 93
500, 158
504, 2085
505, 39
506, 179
507, 875
508, 4
510, 977
511, 103
512, 279
513, 85
515, 38
516, 565
517, 140
518, 1277
520, 997
522, 173
524, 2
525, 1007
527, 7
528, 932
530, 120
531, 92
532, 1130
533, 665
534, 81
535, 31
536, 88
539, 204
540, 1659
544, 536
545, 12
546, 1726
548, 1
549, 94
550, 243
552, 381
553, 91
555, 1027
556, 2
558, 132
559, 537
560, 1793
561, 195
564, 257
565, 18
567, 189
568, 108
570, 1287
572, 540
574, 864
575, 16
576, 1067
578, 142
580, 114
581, 100
582, 59
583, 120
584, 93
585, 1476
588, 1005
590, 105
592, 897
594, 251
595, 356
596, 3
598, 338
600, 1357
602, 701
603, 86
605, 122
606, 41
608, 937
609, 74
610, 75
611, 280
612, 624
615, 871
616, 781
618, 41
620, 88
621, 84
623, 71
624, 1325
625, 8
627, 91
629, 484
630, 1596
632, 86
635, 5
636, 129
637, 242
638, 79
639, 84
640, 1104
642, 37
644, 489
645, 686
646, 610
648, 416
649, 89
650, 271
651, 60
654, 34
655, 5
656, 1040
657, 85
658, 376
660, 959
663, 840
664, 69
665, 86
666, 332
670, 66
671, 72
672, 1459
675, 632
676, 132
678, 29
679, 64
680, 953
682, 88
684, 538
685, 4
686, 293
688, 888
689, 117
690, 591
693, 180
695, 1
696, 165
697, 841
700, 329
702, 623
703, 73
704, 895
705, 454
707, 53
708, 118
710, 87
711, 80
712, 58
714, 1069
715, 176
720, 1914
721, 33
722, 117
726, 84
728, 310
729, 66
730, 60
731, 782
732, 100
735, 366
736, 605
737, 65
738, 716
740, 97
741, 279
742, 167
744, 160
745, 1
747, 56
748, 809
749, 34
750, 316
752, 601
754, 99
755, 1
756, 980
759, 74
760, 457
762, 11
763, 38
765, 1026
767, 93
768, 564
770, 269
774, 832
776, 55
777, 32
779, 345
780, 464
781, 77
782, 651
783, 60
784, 581
785, 1
786, 10
790, 51
791, 32
792, 1000
793, 78
795, 168
798, 589
799, 596
800, 593
801, 55
803, 59
804, 93
805, 28
806, 82
808, 38
810, 1051
812, 117
814, 53
816, 980
817, 552
819, 182
820, 213
822, 5
824, 36
825, 199
826, 95
828, 889
830, 68
832, 356
833, 508
834, 7
836, 662
837, 59
840, 690
845, 70
846, 752
847, 72
848, 236
850, 449
852, 56
854, 128
855, 797
856, 35
858, 120
860, 423
861, 85
864, 964
867, 342
868, 94
869, 53
870, 150
871, 77
872, 47
873, 41
874, 641
875, 18
876, 47
880, 745
882, 814
884, 366
885, 96
888, 99
889, 14
890, 49
891, 91
893, 707
894, 4
896, 252
897, 79
900, 1245
901, 300
902, 62
903, 166
904, 32
906, 1
909, 33
910, 197
912, 936
913, 38
915, 74
917, 9
918, 738
920, 665
923, 62
924, 442
927, 44
928, 131
930, 123
931, 633
935, 239
936, 579
938, 63
940, 630
942, 3
943, 7
944, 126
945, 430
946, 108
948, 47
949, 61
