Avalanche Movement, Number Avalanches
4, 333701
5, 1246152
6, 1127608
7, 691165
8, 546864
9, 470889
10, 473135
11, 664986
12, 456164
13, 315403
14, 272703
15, 232923
16, 218553
17, 313373
18, 301801
19, 174433
20, 133166
21, 133545
22, 138874
23, 140630
24, 103783
25, 114006
26, 161450
27, 100543
28, 121644
29, 32860
30, 27442
31, 22758
32, 20129
33, 18323
34, 17005
35, 15766
36, 14775
37, 13895
38, 13510
39, 12481
40, 12137
41, 11419
42, 10871
43, 10553
44, 9932
45, 9591
46, 9341
47, 8879
48, 8626
49, 8183
50, 8013
51, 7634
52, 7442
53, 7167
54, 7073
55, 6906
56, 6453
57, 6414
58, 6058
59, 6058
60, 5933
61, 5643
62, 5526
63, 5277
64, 5078
65, 5000
66, 4954
67, 4690
68, 4776
69, 4646
70, 4369
71, 4322
72, 4285
73, 4119
74, 4023
75, 4139
76, 3941
77, 3794
78, 3717
79, 3749
80, 3740
81, 3587
82, 3389
83, 3347
84, 3324
85, 3198
86, 3195
87, 3048
88, 3077
89, 2981
90, 2994
91, 2901
92, 2858
93, 2737
94, 2754
95, 2781
96, 2717
97, 2671
98, 2596
99, 2556
100, 2484
101, 2440
102, 2551
103, 2421
104, 2430
105, 2454
106, 2386
107, 2260
108, 2249
109, 2242
110, 2216
111, 2185
112, 2074
113, 2093
114, 1988
115, 2091
116, 1998
117, 2085
118, 1965
119, 1860
120, 1951
121, 1955
122, 1897
123, 1756
124, 1827
125, 1887
126, 1819
127, 1783
128, 1796
129, 1784
130, 1738
131, 1773
132, 1762
133, 1704
134, 1666
135, 1596
136, 1724
137, 1651
138, 1552
139, 1579
140, 1656
141, 1547
142, 1583
143, 1544
144, 1519
145, 1502
146, 1482
147, 1485
148, 1433
149, 1444
150, 1441
151, 1413
152, 1405
153, 1406
154, 1384
155, 1360
156, 1392
157, 1409
158, 1374
159, 1358
160, 1374
161, 1304
162, 1320
163, 1317
164, 1304
165, 1279
166, 1279
167, 1301
168, 1245
169, 1159
170, 1230
171, 1297
172, 1233
173, 1194
174, 1218
175, 1209
176, 1159
177, 1196
178, 1134
179, 1178
180, 1105
181, 1182
182, 1166
183, 1182
184, 1125
185, 1084
186, 1096
187, 1142
188, 1105
189, 1062
190, 1093
191, 1116
192, 1059
193, 1053
194, 1020
195, 1017
196, 1101
197, 969
198, 1035
199, 1026
200, 1050
201, 1028
202, 946
203, 1013
204, 1004
205, 974
206, 966
207, 959
208, 1002
209, 931
210, 1008
211, 923
212, 947
213, 931
214, 911
215, 916
216, 952
217, 901
218, 892
219, 918
220, 868
221, 906
222, 880
223, 854
224, 896
225, 903
226, 870
227, 883
228, 845
229, 908
230, 774
231, 835
232, 845
233, 818
234, 822
235, 851
236, 806
237, 861
238, 843
239, 850
240, 779
241, 774
242, 793
243, 823
244, 838
245, 831
246, 756
247, 784
248, 774
249, 776
250, 799
251, 785
252, 803
253, 737
254, 775
255, 752
256, 730
257, 711
258, 742
259, 730
260, 762
261, 717
262, 725
263, 697
264, 710
265, 696
266, 720
267, 682
268, 707
269, 694
270, 666
271, 739
272, 716
273, 704
274, 744
275, 722
276, 712
277, 686
278, 715
279, 685
280, 683
281, 694
282, 658
283, 688
284, 651
285, 690
286, 643
287, 653
288, 672
289, 632
290, 620
291, 644
292, 626
293, 599
294, 595
295, 664
296, 623
297, 616
298, 628
299, 593
300, 656
301, 604
302, 624
303, 604
304, 549
305, 562
306, 613
307, 594
308, 619
309, 591
310, 553
311, 655
312, 574
313, 619
314, 548
315, 616
316, 572
317, 559
318, 585
319, 590
320, 627
321, 550
322, 568
323, 586
324, 583
325, 539
326, 587
327, 591
328, 541
329, 558
330, 545
331, 573
332, 519
333, 548
334, 546
335, 549
336, 534
337, 530
338, 526
339, 532
340, 541
341, 502
342, 497
343, 544
344, 502
345, 511
346, 529
347, 506
348, 521
349, 534
350, 510
351, 564
352, 518
353, 476
354, 488
355, 482
356, 541
357, 507
358, 504
359, 495
360, 483
361, 508
362, 505
363, 463
364, 505
365, 477
366, 470
367, 481
368, 462
369, 458
370, 491
371, 469
372, 471
373, 434
374, 491
375, 474
376, 484
377, 516
378, 518
379, 488
380, 472
381, 460
382, 438
383, 477
384, 477
385, 453
386, 450
387, 485
388, 435
389, 449
390, 458
391, 453
392, 465
393, 442
394, 422
395, 424
396, 444
397, 401
398, 430
399, 402
400, 441
401, 437
402, 395
403, 441
404, 446
405, 434
406, 423
407, 440
408, 423
409, 417
410, 428
411, 397
412, 449
413, 412
414, 457
415, 405
416, 376
417, 427
418, 370
419, 414
420, 397
421, 420
422, 374
423, 391
424, 362
425, 365
426, 401
427, 409
428, 402
429, 418
430, 416
431, 429
432, 385
433, 343
434, 386
435, 399
436, 377
437, 387
438, 384
439, 408
440, 383
441, 352
442, 359
443, 371
444, 347
445, 373
446, 346
447, 373
448, 348
449, 384
450, 341
451, 388
452, 365
453, 353
454, 369
455, 356
456, 392
457, 363
458, 383
459, 383
460, 340
461, 338
462, 354
463, 359
464, 344
465, 348
466, 406
467, 354
468, 338
469, 326
470, 356
471, 382
472, 371
473, 340
474, 343
475, 351
476, 336
477, 374
478, 328
479, 337
480, 356
481, 314
482, 340
483, 328
484, 342
485, 331
486, 351
487, 348
488, 354
489, 317
490, 302
491, 326
492, 336
493, 296
494, 309
495, 312
496, 318
497, 304
498, 311
499, 308
500, 341
501, 341
502, 331
503, 330
504, 352
505, 304
506, 307
507, 304
508, 327
509, 293
510, 337
511, 302
512, 339
513, 280
514, 344
515, 302
516, 312
517, 322
518, 297
519, 324
520, 292
521, 300
522, 308
523, 278
524, 321
525, 330
526, 289
527, 272
528, 294
529, 290
530, 272
531, 286
532, 287
533, 299
534, 309
535, 266
536, 280
537, 274
538, 284
539, 296
540, 265
541, 293
542, 285
543, 261
544, 300
545, 269
546, 308
547, 281
548, 270
549, 260
550, 270
551, 277
552, 282
553, 261
554, 285
555, 282
556, 265
557, 299
558, 275
559, 281
560, 276
561, 274
562, 272
563, 281
564, 263
565, 293
566, 277
567, 271
568, 278
569, 261
570, 256
571, 263
572, 268
573, 268
574, 274
575, 281
576, 283
577, 279
578, 256
579, 265
580, 292
581, 272
582, 268
583, 264
584, 225
585, 266
586, 252
587, 253
588, 253
589, 263
590, 267
591, 260
592, 262
593, 248
594, 256
595, 237
596, 254
597, 248
598, 251
599, 227
600, 216
601, 279
602, 252
603, 262
604, 243
605, 256
606, 225
607, 215
608, 254
609, 231
610, 242
611, 265
612, 237
613, 214
614, 248
615, 239
616, 243
617, 215
618, 233
619, 210
620, 230
621, 227
622, 247
623, 236
624, 221
625, 213
626, 215
627, 247
628, 225
629, 222
630, 238
631, 225
632, 194
633, 246
634, 228
635, 212
636, 237
637, 227
638, 218
639, 257
640, 229
641, 214
642, 230
643, 203
644, 219
645, 246
646, 181
647, 221
648, 247
649, 199
650, 231
651, 200
652, 237
653, 224
654, 197
655, 211
656, 231
657, 209
658, 209
659, 223
660, 219
661, 213
662, 220
663, 194
664, 213
665, 195
666, 201
667, 217
668, 215
669, 213
670, 221
671, 197
672, 195
673, 228
674, 203
675, 199
676, 230
677, 192
678, 193
679, 176
680, 191
681, 205
682, 193
683, 186
684, 195
685, 199
686, 215
687, 189
