Avalanche Magnatude, Number Avalanches
6, 147824
7, 600267
8, 591646
9, 592907
10, 663658
11, 503571
12, 388628
13, 576775
14, 304597
15, 229149
16, 213562
17, 189413
18, 431550
19, 247702
20, 222006
21, 155674
22, 167928
23, 114930
24, 172428
25, 93445
26, 147607
27, 109568
28, 107617
29, 78450
30, 158427
31, 94574
32, 125877
33, 90363
34, 231134
35, 113305
36, 41475
37, 6920
38, 26211
39, 30656
40, 46733
41, 4643
42, 68350
43, 3755
44, 36471
45, 26673
46, 23655
47, 2380
48, 45025
49, 1954
50, 13060
51, 23321
52, 20470
53, 1317
54, 31068
55, 1146
56, 21229
57, 15218
58, 14508
59, 696
60, 36302
61, 565
62, 9840
63, 14576
64, 23704
65, 1964
66, 27162
67, 296
68, 21852
69, 15423
70, 10837
71, 216
72, 36888
73, 157
74, 1026
75, 13401
76, 13520
77, 99
78, 10582
79, 86
80, 17250
81, 6328
82, 3074
83, 45
84, 16843
85, 5896
86, 2990
87, 5401
88, 9922
89, 24
90, 15274
91, 32
92, 9928
93, 5541
94, 2577
95, 6243
96, 16531
97, 18
98, 2444
99, 4915
100, 15257
101, 6
102, 9435
103, 5
104, 8274
105, 10788
106, 1962
107, 5
108, 14905
109, 6
110, 6744
111, 4740
112, 5770
113, 2
114, 7008
115, 4505
116, 4716
117, 1156
118, 1328
119, 470
120, 13684
121, 1
122, 1156
123, 916
124, 3857
125, 4035
126, 7439
128, 3809
129, 940
130, 5058
132, 8723
133, 1682
134, 711
135, 5018
136, 3281
138, 5657
140, 9000
141, 968
142, 500
144, 7966
145, 2983
146, 454
147, 3977
148, 3128
149, 1
150, 7167
152, 3236
153, 1016
154, 3530
155, 2011
156, 5722
158, 281
159, 997
160, 3686
161, 3477
162, 4375
164, 692
165, 2667
166, 208
168, 8921
170, 1733
171, 938
172, 577
174, 3807
175, 4667
176, 2302
177, 893
178, 131
180, 5353
182, 3082
183, 840
184, 2749
185, 1450
186, 3033
188, 491
189, 3778
190, 1516
192, 5525
194, 59
195, 2176
196, 3006
198, 2842
200, 4106
201, 593
202, 30
203, 2465
204, 2498
205, 609
206, 28
207, 1584
208, 3185
209, 1
210, 4607
212, 481
213, 489
214, 24
215, 281
216, 5953
217, 2147
218, 13
219, 457
220, 801
222, 1605
224, 4689
225, 2344
226, 15
228, 1926
230, 514
231, 2058
232, 2712
234, 3472
235, 205
236, 446
237, 316
238, 1439
240, 4677
242, 19
243, 2443
244, 441
245, 1450
246, 1110
248, 2454
249, 245
250, 1076
252, 4522
253, 45
254, 2
255, 441
256, 2317
258, 622
259, 1010
260, 1794
261, 2243
262, 1
264, 2724
265, 206
266, 958
267, 164
268, 389
270, 4139
272, 2005
273, 1027
274, 1
275, 475
276, 764
278, 2
279, 2030
280, 4493
282, 260
284, 371
285, 322
286, 442
287, 843
288, 3599
290, 1943
291, 98
292, 350
294, 1006
295, 243
296, 1423
297, 2390
300, 2758
301, 577
303, 67
304, 1221
305, 263
306, 1782
308, 1729
309, 58
310, 2025
312, 1511
315, 2056
316, 322
318, 228
319, 1224
320, 2970
321, 41
322, 235
324, 2058
325, 246
327, 34
328, 891
329, 198
330, 3590
332, 232
333, 1159
335, 240
336, 1701
