Avalanche Movement, Number Avalanches
6, 5
7, 34
8, 88
9, 423
10, 687
11, 1854
12, 3634
13, 9116
14, 35804
15, 1239
16, 2190
17, 1984
18, 1896
19, 1741
20, 1772
21, 1688
22, 1587
23, 1550
24, 1504
25, 1429
26, 1345
27, 1297
28, 1260
29, 1228
30, 1172
31, 1208
32, 1102
33, 1033
34, 1007
35, 1013
36, 890
37, 839
38, 792
39, 789
40, 759
41, 747
42, 695
43, 654
44, 631
45, 545
46, 520
47, 555
48, 496
49, 470
50, 435
51, 375
52, 386
53, 355
54, 364
55, 330
56, 324
57, 292
58, 277
59, 278
60, 266
61, 237
62, 229
63, 227
64, 163
65, 179
66, 170
67, 175
68, 162
69, 158
70, 146
71, 141
72, 115
73, 111
74, 107
75, 114
76, 95
77, 111
78, 101
79, 81
80, 73
81, 87
82, 66
83, 83
84, 57
85, 59
86, 60
87, 56
88, 58
89, 58
90, 51
91, 52
92, 53
93, 35
94, 54
95, 42
96, 31
97, 35
98, 42
99, 23
100, 41
101, 36
102, 23
103, 33
104, 30
105, 26
106, 20
107, 24
108, 24
109, 31
110, 21
111, 23
112, 14
113, 17
114, 18
115, 28
116, 16
117, 15
118, 18
119, 13
120, 13
121, 18
122, 13
123, 15
124, 24
125, 10
126, 13
127, 14
128, 23
129, 10
130, 7
131, 11
132, 14
133, 9
134, 16
135, 9
136, 11
137, 5
138, 9
139, 6
140, 9
141, 12
142, 13
143, 6
144, 12
145, 9
146, 6
147, 8
148, 10
149, 2
150, 9
151, 5
152, 6
153, 7
154, 8
155, 3
156, 7
157, 7
158, 10
159, 5
160, 7
161, 8
162, 11
163, 5
164, 2
165, 4
166, 3
167, 5
168, 4
169, 6
170, 4
171, 2
172, 2
173, 6
174, 1
175, 2
176, 4
177, 6
178, 5
179, 4
180, 4
181, 6
182, 4
183, 1
184, 3
185, 2
186, 3
187, 1
188, 2
189, 2
190, 3
191, 2
192, 4
193, 1
194, 1
195, 3
196, 7
197, 2
198, 2
199, 1
200, 1
201, 1
202, 1
203, 3
204, 1
205, 2
206, 2
207, 5
208, 1
209, 4
210, 1
211, 2
212, 3
213, 6
214, 1
215, 1
216, 2
217, 1
218, 3
219, 1
220, 2
221, 2
222, 1
223, 2
224, 2
225, 2
226, 1
227, 1
228, 3
230, 1
232, 3
233, 2
235, 1
236, 1
237, 1
239, 1
241, 1
242, 2
243, 3
245, 1
246, 2
247, 2
250, 2
252, 4
255, 1
258, 1
260, 1
261, 1
265, 2
270, 1
271, 1
272, 1
273, 1
275, 1
277, 2
278, 1
282, 2
286, 2
287, 1
290, 2
294, 1
299, 1
306, 1
310, 2
316, 1
317, 1
321, 1
323, 1
329, 2
331, 1
338, 1
350, 1
357, 1
367, 1
380, 1
388, 1
411, 1
419, 1
434, 1
491, 1
588, 1
