Avalanche Magnitude, Number Avalanches
6, 5
7, 34
8, 87
9, 419
10, 678
11, 1800
12, 3549
13, 8891
14, 35340
15, 141
16, 1841
17, 1769
18, 1568
19, 1346
20, 1316
21, 1141
22, 1033
23, 880
24, 886
25, 731
26, 840
27, 598
28, 911
29, 446
30, 1372
31, 384
32, 417
33, 317
34, 375
35, 246
36, 499
37, 193
38, 503
39, 183
40, 541
41, 127
42, 641
43, 99
44, 634
45, 209
46, 642
47, 72
48, 899
49, 42
50, 631
51, 93
52, 604
53, 27
54, 616
55, 30
56, 579
57, 60
58, 604
59, 9
60, 597
61, 11
62, 602
63, 70
64, 544
65, 11
66, 525
67, 2
68, 536
69, 77
70, 488
71, 2
72, 528
73, 2
74, 403
75, 98
76, 383
77, 3
78, 448
79, 3
80, 351
81, 119
82, 317
84, 509
85, 8
86, 284
87, 156
88, 274
90, 419
92, 221
93, 173
94, 205
95, 10
96, 402
98, 176
99, 191
100, 164
102, 328
104, 162
105, 209
106, 110
108, 327
110, 86
111, 178
112, 113
114, 281
115, 4
116, 114
117, 175
118, 84
120, 301
122, 61
123, 210
124, 101
125, 2
126, 201
128, 68
129, 177
130, 36
132, 261
134, 40
135, 159
136, 81
138, 187
140, 89
141, 146
142, 22
144, 193
145, 10
146, 21
147, 138
148, 66
150, 150
152, 56
153, 99
154, 21
155, 12
156, 205
158, 8
159, 116
160, 82
161, 2
162, 125
164, 64
165, 116
166, 10
168, 188
170, 15
171, 87
172, 68
174, 88
175, 16
176, 66
177, 87
178, 5
180, 161
182, 2
183, 60
184, 45
185, 11
186, 60
188, 80
189, 71
190, 20
192, 104
194, 1
195, 71
196, 72
198, 51
200, 88
201, 52
203, 1
204, 115
205, 14
207, 51
208, 60
210, 59
212, 49
213, 45
215, 16
216, 80
217, 1
219, 24
220, 72
222, 28
224, 54
225, 47
228, 71
230, 16
231, 21
232, 44
234, 24
235, 23
236, 57
237, 19
240, 99
242, 1
243, 20
244, 43
245, 28
246, 27
248, 44
249, 14
250, 18
252, 71
254, 1
255, 24
256, 34
258, 14
260, 47
261, 7
264, 48
265, 27
266, 2
267, 11
268, 32
270, 36
272, 34
273, 11
275, 18
276, 53
279, 2
280, 56
282, 22
284, 20
285, 20
286, 2
287, 5
288, 57
290, 17
291, 6
292, 24
294, 18
295, 16
296, 21
297, 3
300, 49
301, 6
303, 5
304, 27
305, 19
306, 14
308, 31
309, 5
310, 22
312, 47
315, 28
316, 18
318, 18
320, 33
321, 3
322, 6
324, 43
325, 17
327, 3
328, 12
329, 6
330, 27
332, 11
333, 5
335, 10
336, 33
340, 33
342, 11
343, 3
344, 16
345, 14
348, 26
350, 24
351, 3
352, 12
354, 13
355, 14
356, 9
357, 7
360, 42
364, 16
365, 9
366, 26
368, 7
370, 8
371, 7
372, 26
375, 16
376, 10
378, 24
380, 16
384, 15
385, 20
387, 1
388, 5
390, 28
392, 21
395, 6
396, 18
399, 10
400, 14
402, 16
404, 4
405, 8
406, 6
408, 13
410, 8
412, 1
413, 6
414, 14
415, 13
416, 5
420, 29
423, 2
424, 2
425, 5
426, 15
427, 11
428, 3
429, 1
430, 6
432, 13
434, 5
435, 9
436, 6
438, 11
440, 14
441, 9
444, 14
445, 6
448, 9
450, 20
452, 3
455, 15
456, 8
459, 2
460, 4
462, 20
464, 4
465, 4
468, 11
469, 10
470, 9
472, 1
474, 9
475, 3
476, 10
477, 1
480, 14
483, 12
486, 10
488, 5
490, 13
492, 9
495, 5
496, 8
497, 3
498, 7
500, 7
504, 17
505, 1
510, 7
511, 11
512, 1
513, 1
515, 3
516, 7
517, 1
518, 9
520, 10
522, 4
524, 1
525, 10
528, 10
530, 2
531, 3
532, 8
534, 7
535, 2
536, 4
539, 8
540, 6
544, 4
545, 2
546, 12
549, 2
550, 1
552, 17
553, 2
558, 8
560, 12
564, 5
565, 1
567, 12
568, 7
570, 12
572, 1
574, 3
575, 3
576, 10
580, 7
581, 10
582, 4
584, 1
585, 3
588, 12
592, 3
594, 12
595, 5
600, 21
602, 6
603, 4
605, 2
606, 6
608, 2
609, 7
612, 2
616, 12
618, 5
620, 4
621, 5
623, 5
624, 5
625, 1
630, 12
632, 7
635, 1
636, 4
637, 8
638, 1
639, 4
640, 4
644, 6
648, 8
649, 1
650, 2
651, 1
654, 3
656, 7
657, 4
658, 7
660, 7
664, 6
666, 5
671, 1
672, 8
675, 3
678, 2
679, 7
680, 7
682, 1
684, 8
686, 6
688, 5
690, 6
693, 6
696, 7
700, 3
702, 4
704, 7
707, 5
710, 6
712, 2
714, 2
715, 3
720, 10
721, 5
726, 4
728, 6
729, 3
730, 3
732, 2
735, 4
736, 7
737, 3
738, 5
740, 4
742, 2
744, 8
747, 4
749, 3
750, 1
752, 4
756, 7
760, 6
762, 1
763, 2
765, 4
768, 3
770, 7
774, 3
776, 3
777, 3
780, 3
781, 1
783, 3
784, 2
786, 1
790, 4
791, 1
792, 6
798, 2
799, 1
800, 9
801, 3
804, 2
805, 4
806, 1
808, 4
810, 8
812, 2
814, 2
816, 3
819, 5
820, 3
824, 7
825, 2
826, 4
828, 4
830, 6
832, 4
833, 3
837, 2
840, 10
846, 4
847, 3
848, 2
850, 4
855, 5
856, 5
858, 3
860, 2
864, 6
868, 4
869, 3
870, 4
871, 1
872, 6
873, 3
880, 8
882, 4
888, 2
890, 5
891, 2
896, 5
900, 8
902, 4
903, 2
904, 1
909, 6
910, 2
912, 5
917, 1
918, 4
920, 2
923, 1
924, 5
927, 1
928, 2
930, 1
935, 1
936, 8
940, 3
944, 1
945, 3
946, 3
948, 1
949, 1
950, 5
952, 4
954, 1
957, 1
960, 1
963, 1
966, 2
968, 3
970, 1
972, 3
978, 1
979, 2
980, 3
981, 2
990, 7
992, 2
994, 2
1000, 5
1008, 7
1010, 2
1015, 1
1017, 2
1020, 2
1023, 2
1024, 4
1026, 2
1029, 1
1030, 1
1032, 1
1034, 2
1035, 2
1036, 1
1040, 7
1045, 3
1048, 2
1050, 1
1053, 4
1056, 1
1062, 1
1067, 1
1068, 1
1070, 2
1071, 1
1072, 1
1079, 1
1080, 8
1085, 1
1089, 2
1090, 2
1092, 4
1096, 3
1098, 2
1100, 1
1104, 4
1105, 1
1106, 1
1107, 1
1110, 2
1111, 1
1112, 1
1116, 3
1118, 1
1120, 3
1122, 2
1128, 5
1130, 1
1131, 1
1133, 2
1134, 1
1136, 1
1140, 2
1143, 1
1144, 3
1150, 4
1152, 3
1155, 1
1160, 2
1162, 1
1166, 2
1170, 4
1176, 2
1179, 1
1180, 4
1184, 1
1188, 5
1197, 1
1200, 3
1206, 2
1209, 1
