Avalanche Movement, Number Avalanches
5, 1527
6, 1677
7, 2937
8, 3211
9, 5949
10, 5451
11, 10811
12, 18500
13, 9363
14, 14089
15, 2014
16, 1420
17, 1024
18, 833
19, 752
20, 706
21, 666
22, 626
23, 561
24, 554
25, 551
26, 522
27, 489
28, 458
29, 505
30, 404
31, 439
32, 389
33, 398
34, 384
35, 405
36, 334
37, 333
38, 296
39, 302
40, 302
41, 264
42, 280
43, 278
44, 219
45, 247
46, 227
47, 231
48, 228
49, 200
50, 207
51, 221
52, 205
53, 189
54, 185
55, 146
56, 163
57, 162
58, 165
59, 152
60, 143
61, 134
62, 143
63, 136
64, 129
65, 117
66, 130
67, 123
68, 98
69, 111
70, 122
71, 113
72, 94
73, 101
74, 75
75, 78
76, 81
77, 73
78, 87
79, 70
80, 71
81, 75
82, 67
83, 73
84, 67
85, 61
86, 71
87, 68
88, 65
89, 64
90, 66
91, 47
92, 45
93, 59
94, 55
95, 46
96, 48
97, 60
98, 57
99, 46
100, 65
101, 45
102, 36
103, 44
104, 36
105, 38
106, 37
107, 42
108, 46
109, 42
110, 38
111, 24
112, 44
113, 39
114, 30
115, 32
116, 26
117, 46
118, 20
119, 43
120, 26
121, 22
122, 36
123, 34
124, 27
125, 34
126, 31
127, 26
128, 29
129, 22
130, 24
131, 30
132, 26
133, 24
134, 28
135, 17
136, 30
137, 19
138, 15
139, 18
140, 26
141, 13
142, 22
143, 24
144, 27
145, 22
146, 18
147, 18
148, 20
149, 26
150, 13
151, 29
152, 13
153, 12
154, 12
155, 18
156, 13
157, 18
158, 14
159, 16
160, 14
161, 19
162, 24
163, 17
164, 19
165, 14
166, 16
167, 11
168, 16
169, 9
170, 13
171, 21
172, 15
173, 15
174, 18
175, 10
176, 17
177, 17
178, 15
179, 6
180, 14
181, 13
182, 12
183, 5
184, 11
185, 12
186, 11
187, 11
188, 7
189, 14
190, 14
191, 12
192, 9
193, 13
194, 4
195, 9
196, 15
197, 13
198, 14
199, 12
200, 11
201, 9
202, 5
203, 12
204, 7
205, 7
206, 11
207, 8
208, 10
209, 5
210, 11
211, 9
212, 12
213, 10
214, 11
215, 6
216, 12
217, 9
218, 12
219, 8
220, 11
221, 10
222, 8
223, 11
224, 7
225, 9
226, 9
227, 6
228, 7
229, 10
230, 2
231, 8
232, 5
233, 3
234, 5
235, 5
236, 7
237, 11
238, 13
239, 6
240, 6
241, 4
242, 3
243, 5
244, 8
245, 5
246, 4
247, 12
248, 3
249, 8
250, 6
251, 4
252, 2
253, 6
254, 7
255, 4
256, 5
257, 8
258, 7
259, 5
260, 6
261, 8
262, 7
263, 4
264, 3
265, 2
266, 3
267, 7
268, 5
269, 5
270, 2
271, 5
272, 5
273, 3
274, 4
275, 7
276, 5
277, 3
278, 5
279, 2
280, 2
281, 1
282, 3
283, 4
284, 5
285, 2
286, 7
287, 3
288, 3
289, 3
290, 8
291, 5
292, 4
293, 4
294, 3
295, 5
296, 5
297, 5
298, 9
299, 4
300, 7
301, 3
302, 3
303, 3
304, 5
305, 3
307, 4
308, 4
309, 5
310, 2
311, 3
312, 10
313, 4
314, 1
315, 2
316, 3
317, 2
318, 2
319, 9
320, 4
322, 4
323, 3
324, 3
325, 2
326, 4
327, 1
328, 2
329, 2
330, 6
331, 3
332, 5
333, 2
334, 6
335, 5
336, 2
337, 4
338, 2
339, 3
340, 3
341, 5
342, 8
343, 1
344, 2
345, 2
346, 4
347, 3
348, 2
349, 5
350, 3
353, 4
354, 1
355, 3
356, 3
357, 3
358, 2
359, 2
360, 1
361, 2
363, 3
364, 1
365, 3
366, 3
367, 4
368, 1
369, 3
371, 2
372, 5
373, 3
374, 3
375, 2
376, 2
377, 3
378, 1
379, 4
380, 2
381, 2
384, 2
385, 3
387, 3
388, 4
389, 4
390, 3
391, 4
392, 1
393, 3
394, 2
395, 1
396, 1
398, 3
399, 2
400, 4
401, 2
404, 3
406, 4
407, 2
409, 1
412, 3
413, 2
414, 3
415, 1
417, 4
418, 2
419, 2
423, 2
424, 2
425, 2
426, 1
427, 3
428, 1
429, 2
430, 1
431, 3
432, 3
433, 4
434, 1
435, 2
436, 1
437, 3
438, 1
439, 1
440, 4
441, 2
442, 1
443, 4
444, 2
445, 6
446, 1
447, 3
449, 1
450, 1
451, 2
452, 1
453, 2
454, 1
457, 1
458, 4
459, 2
460, 1
464, 2
468, 2
469, 2
470, 2
472, 2
473, 1
474, 1
475, 3
476, 1
477, 2
478, 1
480, 2
481, 1
482, 2
483, 1
484, 1
485, 2
486, 1
488, 1
489, 1
490, 1
491, 1
493, 1
495, 1
496, 2
497, 1
498, 1
499, 2
501, 2
503, 2
504, 2
505, 1
506, 2
508, 1
512, 2
513, 1
517, 1
518, 2
519, 2
521, 1
522, 1
523, 1
524, 1
526, 4
530, 1
531, 1
532, 1
533, 2
534, 1
535, 1
536, 1
540, 1
541, 1
542, 2
543, 1
545, 1
546, 2
548, 2
549, 1
550, 2
551, 1
553, 3
556, 1
559, 2
561, 1
565, 1
566, 3
567, 1
568, 1
571, 1
572, 1
574, 1
576, 1
577, 1
585, 1
586, 1
587, 2
589, 1
591, 1
592, 1
594, 1
596, 1
597, 2
598, 1
600, 1
602, 1
605, 1
607, 2
608, 1
610, 1
613, 1
614, 1
618, 1
620, 2
621, 1
623, 2
625, 1
626, 1
627, 1
630, 1
631, 2
633, 1
634, 1
636, 1
638, 2
639, 2
641, 1
643, 1
644, 1
659, 1
660, 1
661, 1
662, 3
665, 1
667, 1
668, 2
669, 1
673, 2
674, 1
676, 2
677, 1
680, 1
682, 1
683, 2
690, 1
691, 1
692, 2
694, 1
700, 1
704, 1
707, 3
713, 1
715, 1
718, 1
720, 2
