Avalanche Magnitude, Number Avalanches
5, 1527
6, 1677
7, 2904
8, 3115
9, 5691
10, 5116
11, 10239
12, 17621
13, 7886
14, 12296
15, 212
16, 502
17, 384
18, 554
19, 330
20, 501
21, 254
22, 680
23, 203
24, 821
25, 164
26, 1321
27, 170
28, 1459
29, 117
30, 1316
31, 96
32, 290
33, 158
34, 173
35, 69
36, 342
37, 47
38, 184
39, 256
40, 226
41, 23
42, 562
43, 21
44, 219
45, 493
46, 179
47, 13
48, 802
49, 17
50, 196
51, 223
52, 235
53, 8
54, 272
55, 8
56, 227
57, 65
58, 169
59, 1
60, 368
61, 5
62, 163
63, 81
64, 314
65, 19
66, 220
67, 1
68, 345
69, 70
70, 142
71, 2
72, 317
74, 94
75, 127
76, 173
77, 1
78, 171
80, 175
81, 68
82, 71
84, 214
85, 74
86, 62
87, 83
88, 95
90, 231
91, 2
92, 87
93, 78
94, 36
95, 75
96, 159
98, 35
99, 82
100, 113
102, 125
104, 72
105, 116
106, 28
108, 186
110, 47
111, 82
112, 60
114, 116
115, 17
116, 67
117, 65
118, 14
119, 9
120, 185
122, 12
123, 62
124, 50
125, 14
126, 131
128, 52
129, 73
130, 31
132, 121
133, 16
134, 4
135, 72
136, 48
138, 90
140, 119
141, 52
142, 4
144, 132
145, 26
146, 8
147, 78
148, 39
150, 88
152, 39
153, 44
154, 30
155, 24
156, 95
158, 3
159, 37
160, 69
161, 19
162, 52
164, 46
165, 48
168, 115
170, 23
171, 33
172, 42
174, 45
175, 29
176, 52
177, 40
180, 98
182, 9
183, 23
184, 57
185, 22
186, 37
188, 36
189, 42
190, 24
192, 88
194, 1
195, 47
196, 38
198, 37
200, 72
201, 11
203, 17
204, 73
205, 24
207, 24
208, 50
210, 80
212, 37
213, 16
215, 24
216, 76
217, 5
218, 1
219, 12
220, 46
222, 22
224, 39
225, 52
228, 48
230, 22
231, 14
232, 37
234, 35
235, 31
236, 21
237, 5
238, 10
240, 79
242, 1
243, 22
244, 16
245, 27
246, 19
248, 28
249, 3
250, 30
252, 58
255, 26
256, 27
258, 31
259, 8
260, 50
261, 11
264, 40
265, 24
266, 10
267, 3
268, 27
270, 55
272, 24
273, 10
275, 23
276, 32
279, 10
280, 57
282, 17
284, 11
285, 16
286, 3
287, 6
288, 40
290, 29
291, 6
292, 17
294, 27
295, 20
296, 19
297, 13
299, 1
300, 50
301, 9
304, 11
305, 13
306, 23
308, 16
309, 1
310, 21
312, 48
315, 28
316, 5
318, 17
319, 7
320, 24
321, 1
322, 4
324, 28
325, 19
328, 19
329, 11
330, 34
332, 9
333, 3
335, 14
336, 47
338, 1
339, 1
340, 19
341, 2
342, 20
343, 13
344, 13
345, 10
348, 20
350, 21
351, 6
352, 16
354, 14
355, 10
356, 5
357, 15
360, 53
363, 4
364, 14
365, 6
366, 14
368, 7
369, 2
370, 11
371, 7
372, 19
374, 5
375, 11
376, 17
377, 3
378, 36
380, 20
384, 24
385, 21
387, 3
390, 20
392, 26
395, 6
396, 31
399, 18
400, 18
402, 10
403, 6
405, 7
406, 14
407, 2
408, 29
410, 4
412, 2
413, 9
414, 15
415, 6
416, 14
420, 42
423, 3
424, 10
425, 3
426, 11
427, 16
428, 1
429, 2
430, 11
432, 21
434, 20
435, 2
436, 1
438, 9
440, 20
441, 17
442, 1
444, 9
445, 4
448, 24
450, 18
451, 1
452, 1
455, 23
456, 25
459, 5
460, 6
462, 24
464, 12
465, 2
468, 15
469, 7
470, 7
472, 12
473, 1
474, 7
475, 2
476, 14
477, 7
480, 20
481, 3
483, 6
484, 2
485, 2
486, 8
488, 9
490, 19
492, 7
494, 1
495, 12
496, 8
497, 10
498, 8
500, 5
504, 38
505, 3
506, 5
507, 2
508, 1
510, 14
511, 5
512, 9
513, 4
516, 7
517, 2
518, 9
520, 14
522, 11
525, 10
528, 25
530, 4
531, 6
532, 8
533, 2
534, 3
536, 7
539, 12
540, 27
544, 9
546, 19
549, 10
550, 7
552, 23
553, 8
555, 2
558, 8
560, 28
561, 3
564, 6
567, 20
568, 15
570, 14
572, 4
574, 12
575, 1
576, 20
580, 7
581, 5
582, 3
583, 5
584, 8
585, 9
588, 23
590, 1
592, 13
594, 9
595, 8
598, 3
600, 18
602, 10
603, 6
605, 3
606, 2
608, 7
609, 4
610, 3
612, 16
615, 1
616, 18
618, 4
620, 5
621, 3
623, 7
624, 14
625, 1
627, 4
629, 1
630, 24
632, 10
635, 1
636, 2
637, 5
638, 1
639, 6
640, 12
642, 2
644, 5
645, 1
648, 16
650, 4
651, 12
654, 1
656, 7
657, 6
658, 12
660, 17
663, 3
664, 7
665, 8
666, 6
670, 7
671, 2
672, 13
675, 10
678, 3
679, 4
680, 11
682, 3
684, 10
686, 3
688, 8
689, 1
690, 8
693, 14
696, 6
700, 11
702, 9
704, 7
705, 2
707, 1
708, 2
710, 8
711, 5
712, 7
714, 11
715, 3
720, 20
721, 3
726, 4
728, 8
729, 8
730, 9
731, 1
735, 6
736, 4
737, 5
738, 5
740, 3
741, 1
742, 4
744, 4
747, 6
748, 4
749, 2
750, 10
752, 7
754, 3
756, 12
759, 3
760, 8
762, 2
763, 3
765, 6
767, 2
768, 11
770, 16
774, 9
776, 5
779, 1
780, 7
781, 3
783, 5
784, 11
790, 5
791, 4
792, 18
793, 2
795, 1
798, 1
800, 7
801, 3
803, 4
804, 4
805, 3
806, 3
808, 6
810, 9
812, 2
814, 5
816, 7
819, 11
820, 5
822, 1
824, 4
825, 5
826, 2
828, 6
830, 5
832, 7
833, 2
834, 1
836, 1
837, 4
840, 12
845, 2
846, 9
847, 7
848, 6
850, 5
852, 2
854, 5
855, 7
856, 2
858, 8
860, 2
861, 3
864, 8
