Avalanche Grain Count,  Number Avalanches
1, 72480
2, 9669
3, 5262
4, 2931
5, 1606
6, 1209
7, 976
8, 713
9, 573
10, 477
11, 376
12, 326
13, 308
14, 229
15, 204
16, 181
17, 155
18, 156
19, 121
20, 122
21, 107
22, 84
23, 79
24, 83
25, 85
26, 61
27, 71
28, 48
29, 50
30, 61
31, 51
32, 40
33, 49
34, 49
35, 35
36, 32
37, 24
38, 49
39, 37
40, 34
41, 23
42, 29
43, 24
44, 21
45, 21
46, 13
47, 27
48, 29
49, 30
50, 22
51, 17
52, 26
53, 18
54, 11
55, 16
56, 7
57, 13
58, 13
59, 15
60, 17
61, 8
62, 10
63, 12
64, 11
65, 13
66, 10
67, 6
68, 11
69, 5
70, 6
71, 8
72, 7
73, 7
74, 6
75, 8
76, 10
77, 9
78, 13
79, 6
80, 8
81, 5
82, 6
83, 7
84, 5
85, 4
86, 3
87, 6
88, 5
89, 4
90, 8
91, 6
92, 6
93, 3
94, 1
95, 2
96, 5
97, 5
98, 7
99, 2
100, 3
101, 2
102, 4
103, 3
104, 3
105, 5
106, 4
107, 6
108, 2
109, 2
110, 5
111, 2
112, 2
113, 3
114, 3
115, 3
116, 2
118, 2
119, 3
120, 3
122, 4
123, 4
124, 2
125, 2
128, 2
129, 2
130, 1
131, 4
135, 1
136, 1
140, 2
141, 2
142, 1
143, 3
144, 1
145, 2
148, 1
149, 3
151, 1
152, 1
154, 1
155, 1
158, 1
165, 2
168, 1
170, 2
172, 1
175, 3
180, 1
182, 1
187, 1
188, 2
193, 1
213, 1
214, 1
215, 1
216, 1
223, 1
226, 1
227, 1
228, 1
237, 1
238, 1
242, 1
245, 1
250, 1
252, 1
254, 1
256, 1
261, 2
263, 1
271, 1
288, 1
