Avalanche Grain Count,  Number Avalanches
1, 73257
2, 8646
3, 4232
4, 2071
5, 1456
6, 1043
7, 753
8, 672
9, 562
10, 508
11, 417
12, 351
13, 336
14, 314
15, 303
16, 245
17, 258
18, 220
19, 245
20, 194
21, 204
22, 156
23, 181
24, 149
25, 144
26, 157
27, 142
28, 120
29, 113
30, 121
31, 99
32, 83
33, 105
34, 79
35, 91
36, 95
37, 90
38, 80
39, 68
40, 73
41, 74
42, 76
43, 52
44, 61
45, 59
46, 56
47, 51
48, 51
49, 44
50, 50
51, 43
52, 48
53, 42
54, 37
55, 30
56, 29
57, 26
58, 34
59, 25
60, 17
61, 28
62, 29
63, 25
64, 19
65, 25
66, 24
67, 16
68, 19
69, 21
70, 13
71, 19
72, 16
73, 15
74, 10
75, 25
76, 16
77, 9
78, 21
79, 9
80, 13
81, 15
82, 10
83, 9
84, 7
85, 10
86, 13
87, 13
88, 10
89, 9
90, 7
91, 10
92, 6
93, 9
94, 5
95, 8
96, 11
97, 3
98, 6
99, 6
100, 5
101, 7
102, 4
103, 5
104, 4
105, 4
106, 3
107, 7
108, 2
109, 4
110, 1
111, 1
112, 5
113, 2
114, 3
115, 1
116, 7
117, 1
118, 3
119, 4
120, 2
121, 3
122, 3
123, 1
125, 2
126, 3
127, 4
129, 1
130, 3
133, 1
135, 1
136, 4
137, 5
139, 1
140, 1
143, 2
149, 1
152, 1
154, 2
155, 2
161, 1
164, 1
166, 1
167, 1
182, 1
193, 1
203, 1
