Avalanche Movement, Number Avalanches
5, 120
6, 196
7, 599
8, 673
9, 589
10, 677
11, 789
12, 881
13, 1015
14, 1077
15, 278
16, 9412
17, 8364
18, 7603
19, 6919
20, 6160
21, 5518
22, 5082
23, 4632
24, 4129
25, 3679
26, 3254
27, 3025
28, 2714
29, 2399
30, 2068
31, 1938
32, 1740
33, 1591
34, 1378
35, 1171
36, 1127
37, 964
38, 868
39, 754
40, 706
41, 618
42, 561
43, 439
44, 406
45, 401
46, 383
47, 308
48, 274
49, 256
50, 205
51, 194
52, 180
53, 147
54, 129
55, 111
56, 115
57, 99
58, 76
59, 65
60, 70
61, 69
62, 60
63, 57
64, 40
65, 36
66, 32
67, 40
68, 34
69, 26
70, 31
71, 22
72, 20
73, 19
74, 25
75, 15
76, 14
77, 14
78, 12
79, 11
80, 12
81, 10
82, 7
83, 14
84, 13
85, 14
86, 7
87, 11
88, 8
89, 12
90, 12
91, 7
92, 9
93, 13
94, 5
95, 8
96, 6
97, 5
98, 4
99, 3
100, 7
101, 3
102, 4
103, 8
104, 4
105, 3
106, 4
107, 4
108, 2
109, 1
110, 2
111, 1
112, 4
113, 6
114, 2
115, 3
116, 1
117, 2
118, 5
119, 1
120, 3
121, 1
123, 4
125, 2
126, 1
127, 1
130, 4
131, 1
132, 1
133, 1
134, 1
137, 3
138, 1
140, 3
142, 1
144, 1
145, 1
148, 2
155, 1
158, 1
160, 1
167, 1
185, 1
209, 1
217, 1
241, 1
259, 1
261, 1
279, 1
405, 1
437, 1
521, 1
680, 1
835, 1
868, 1
1534, 1
