Avalanche Magnitude, Number Avalanches
5, 120
6, 196
7, 599
8, 673
9, 588
10, 677
11, 789
12, 881
13, 1015
14, 1076
15, 278
16, 9411
17, 8362
18, 7604
19, 6918
20, 6160
21, 5518
22, 5082
23, 4632
24, 4129
25, 3677
26, 3252
27, 3025
28, 2711
29, 2398
30, 2068
31, 1938
32, 1740
33, 1590
34, 1376
35, 1170
36, 1126
37, 961
38, 867
39, 753
40, 705
41, 615
42, 556
43, 438
44, 403
45, 401
46, 382
47, 303
48, 267
49, 253
50, 205
51, 190
52, 170
53, 141
54, 124
55, 104
56, 108
57, 90
58, 71
59, 62
60, 65
61, 65
62, 55
63, 53
64, 35
65, 31
66, 29
67, 32
68, 29
69, 18
70, 23
71, 15
72, 8
73, 14
74, 10
75, 10
76, 8
77, 8
78, 4
79, 4
80, 3
81, 3
82, 2
83, 4
84, 5
85, 2
86, 3
87, 2
88, 4
89, 3
90, 2
91, 2
92, 1
95, 1
97, 1
98, 2
100, 1
102, 2
104, 2
106, 2
114, 1
117, 1
140, 4
145, 1
148, 1
164, 2
168, 2
170, 1
172, 1
176, 1
180, 1
184, 1
185, 2
188, 2
190, 1
192, 3
196, 2
200, 1
204, 3
205, 1
208, 7
210, 3
212, 4
216, 4
220, 5
224, 4
225, 1
228, 7
232, 2
234, 1
235, 3
236, 1
240, 5
245, 1
248, 2
252, 2
256, 2
260, 4
264, 2
265, 2
268, 4
270, 1
272, 3
275, 3
276, 2
280, 4
284, 2
285, 3
288, 4
290, 3
292, 2
295, 2
296, 6
300, 6
304, 1
305, 4
308, 2
310, 3
312, 5
315, 2
316, 4
320, 7
324, 2
325, 4
328, 4
330, 2
332, 3
335, 4
336, 4
340, 10
344, 1
345, 6
348, 2
350, 8
352, 1
355, 5
356, 2
360, 13
365, 3
368, 2
370, 8
372, 3
375, 3
376, 1
380, 6
384, 2
385, 4
388, 1
390, 2
395, 3
400, 7
402, 1
404, 2
405, 5
410, 1
412, 1
415, 7
416, 1
420, 4
424, 1
425, 7
430, 3
435, 7
440, 4
444, 1
445, 7
450, 5
455, 5
460, 7
465, 9
470, 4
472, 1
475, 5
480, 3
485, 3
490, 2
492, 1
495, 3
500, 6
505, 1
510, 3
515, 7
520, 4
525, 3
530, 1
535, 4
540, 2
545, 1
550, 2
555, 1
560, 3
565, 6
570, 2
575, 2
576, 1
580, 2
585, 2
590, 4
595, 1
600, 3
615, 3
625, 2
630, 1
650, 3
655, 1
660, 1
665, 1
672, 2
685, 1
690, 1
700, 2
710, 1
775, 1
790, 1
837, 1
847, 1
889, 1
1096, 1
1233, 1
1260, 1
1332, 1
1480, 2
1503, 1
1760, 1
1953, 1
3553, 1
3885, 1
4437, 1
5543, 1
5580, 1
10125, 1
16169, 1
19798, 1
26520, 1
53816, 1
55110, 1
170274, 1
