Avalanche Magnitude, Number Avalanches
5, 5836
6, 6799
7, 8494
8, 13677
9, 7733
10, 7003
11, 5753
12, 5543
13, 4956
14, 4233
15, 167
16, 751
17, 263
18, 929
19, 222
20, 1077
21, 162
22, 1149
23, 138
24, 1218
25, 100
26, 888
27, 201
28, 750
29, 71
30, 820
31, 41
32, 179
33, 345
34, 127
35, 33
36, 550
37, 28
38, 123
39, 489
40, 183
41, 22
42, 601
43, 13
44, 230
45, 463
46, 95
47, 8
48, 575
49, 9
50, 93
51, 178
52, 232
53, 4
54, 179
55, 4
56, 266
57, 73
58, 75
59, 2
60, 365
61, 4
62, 66
63, 51
64, 286
65, 19
66, 89
68, 230
69, 46
70, 99
71, 1
72, 210
74, 45
75, 115
76, 126
78, 81
80, 157
81, 55
82, 42
84, 120
85, 116
86, 16
87, 51
88, 53
89, 1
90, 189
92, 49
93, 38
94, 18
95, 96
96, 101
98, 24
99, 49
100, 91
102, 104
104, 30
105, 95
106, 10
108, 105
110, 39
111, 37
112, 35
114, 110
115, 27
116, 35
117, 42
118, 10
119, 12
120, 153
122, 5
123, 42
124, 25
125, 15
126, 116
128, 19
129, 25
130, 23
132, 126
133, 28
134, 1
135, 46
136, 14
138, 72
140, 93
141, 25
142, 1
144, 77
145, 20
146, 2
147, 58
148, 34
150, 77
152, 34
153, 28
154, 47
155, 17
156, 48
158, 1
159, 17
160, 47
161, 36
162, 37
164, 18
165, 34
166, 1
168, 85
170, 13
171, 13
172, 24
174, 29
175, 48
176, 45
177, 10
180, 74
182, 20
183, 18
184, 45
185, 14
186, 22
188, 17
189, 26
190, 19
192, 62
195, 24
196, 33
198, 19
200, 79
201, 5
203, 8
204, 43
205, 14
207, 12
208, 34
210, 36
212, 14
213, 4
215, 18
216, 75
217, 9
219, 6
220, 28
222, 13
224, 57
225, 46
228, 25
230, 14
231, 10
232, 21
234, 42
235, 16
236, 19
237, 4
238, 6
240, 46
243, 24
244, 11
245, 21
246, 18
248, 28
249, 1
250, 20
252, 54
255, 9
256, 18
258, 12
259, 6
260, 28
261, 17
264, 30
265, 12
266, 8
267, 1
268, 8
270, 51
272, 12
273, 10
275, 14
276, 20
279, 15
280, 59
282, 10
284, 8
285, 12
286, 4
287, 7
288, 41
290, 20
292, 4
294, 18
295, 12
296, 7
297, 18
300, 38
301, 8
303, 1
304, 14
305, 11
306, 21
308, 30
310, 21
312, 22
315, 28
316, 3
318, 11
319, 12
320, 30
322, 7
324, 21
325, 7
327, 1
328, 5
329, 8
330, 39
333, 2
335, 10
336, 24
340, 18
341, 6
342, 18
343, 10
344, 10
345, 8
348, 21
350, 19
351, 5
352, 23
354, 8
355, 11
356, 5
357, 9
360, 37
363, 10
364, 7
365, 3
366, 10
368, 10
369, 6
370, 14
371, 4
372, 17
374, 5
375, 3
376, 11
377, 1
378, 20
380, 10
384, 21
385, 26
387, 6
390, 19
392, 11
395, 4
396, 35
399, 7
400, 14
402, 6
403, 3
405, 5
406, 3
407, 9
408, 26
410, 9
413, 12
414, 15
415, 4
416, 8
418, 6
420, 24
423, 9
424, 9
425, 3
426, 8
427, 10
429, 10
430, 14
432, 30
434, 7
435, 2
438, 6
440, 17
441, 9
442, 5
444, 20
445, 1
448, 8
450, 18
451, 4
452, 1
455, 10
456, 16
459, 8
460, 6
462, 22
464, 10
465, 4
468, 29
469, 5
470, 7
472, 10
473, 3
474, 4
475, 2
476, 10
477, 2
480, 29
481, 8
483, 6
484, 2
486, 10
488, 6
490, 21
492, 10
494, 6
495, 6
496, 4
497, 5
498, 8
500, 5
504, 34
505, 1
506, 5
507, 4
510, 15
511, 6
512, 8
513, 5
516, 7
517, 4
518, 9
520, 23
522, 8
525, 9
528, 23
530, 6
531, 7
532, 9
533, 6
534, 2
535, 2
536, 5
539, 13
540, 16
544, 5
545, 3
546, 16
549, 2
550, 10
552, 12
553, 4
555, 3
558, 8
559, 3
560, 25
561, 5
564, 3
565, 1
567, 8
568, 6
570, 10
572, 6
574, 4
576, 18
580, 4
581, 3
582, 5
583, 2
584, 5
585, 14
588, 19
590, 5
592, 7
594, 17
595, 4
598, 3
600, 17
602, 4
603, 7
605, 2
606, 3
608, 7
610, 5
611, 8
612, 11
615, 2
