Avalanche Movement, Number Avalanches
5, 5836
6, 5095
7, 15447
8, 11637
9, 12361
10, 8605
11, 7409
12, 5739
13, 3949
14, 3890
15, 1290
16, 999
17, 794
18, 607
19, 585
20, 474
21, 444
22, 450
23, 379
24, 340
25, 325
26, 305
27, 295
28, 279
29, 264
30, 241
31, 215
32, 227
33, 227
34, 216
35, 199
36, 206
37, 168
38, 167
39, 181
40, 167
41, 144
42, 150
43, 137
44, 143
45, 124
46, 133
47, 132
48, 115
49, 112
50, 125
51, 124
52, 120
53, 106
54, 98
55, 100
56, 101
57, 120
58, 91
59, 102
60, 107
61, 107
62, 83
63, 96
64, 76
65, 97
66, 73
67, 84
68, 80
69, 72
70, 85
71, 86
72, 87
73, 62
74, 73
75, 72
76, 58
77, 78
78, 67
79, 58
80, 71
81, 60
82, 63
83, 55
84, 55
85, 62
86, 67
87, 52
88, 56
89, 55
90, 46
91, 45
92, 63
93, 56
94, 54
95, 45
96, 42
97, 64
98, 43
99, 42
100, 38
101, 51
102, 36
103, 41
104, 46
105, 34
106, 50
107, 50
108, 46
109, 54
110, 28
111, 37
112, 44
113, 43
114, 29
115, 33
116, 47
117, 34
118, 41
119, 40
120, 32
121, 44
122, 29
123, 38
124, 25
125, 47
126, 42
127, 28
128, 32
129, 28
130, 47
131, 31
132, 29
133, 26
134, 32
135, 30
136, 32
137, 35
138, 32
139, 30
140, 30
141, 24
142, 27
143, 26
144, 26
145, 28
146, 28
147, 23
148, 23
149, 19
150, 25
151, 22
152, 31
153, 31
154, 17
155, 25
156, 24
157, 24
158, 23
159, 32
160, 20
161, 19
162, 21
163, 19
164, 25
165, 18
166, 26
167, 21
168, 25
169, 25
170, 15
171, 21
172, 17
173, 29
174, 17
175, 24
176, 20
177, 18
178, 16
179, 21
180, 20
181, 17
182, 23
183, 18
184, 19
185, 22
186, 13
187, 15
188, 16
189, 29
190, 22
191, 18
192, 21
193, 17
194, 16
195, 13
196, 17
197, 10
198, 17
199, 8
200, 16
201, 13
202, 20
203, 19
204, 17
205, 26
206, 18
207, 16
208, 19
209, 18
210, 14
211, 8
212, 27
213, 13
214, 12
