Avalanche Movement, Number Avalanches
5, 1127
6, 18470
7, 20019
8, 16815
9, 12996
10, 6799
11, 5035
12, 2938
13, 1745
14, 1317
15, 819
16, 525
17, 423
18, 361
19, 318
20, 295
21, 259
22, 239
23, 225
24, 212
25, 192
26, 175
27, 165
28, 172
29, 159
30, 127
31, 122
32, 120
33, 118
34, 105
35, 108
36, 94
37, 101
38, 92
39, 79
40, 79
41, 89
42, 88
43, 71
44, 77
45, 60
46, 58
47, 72
48, 79
49, 66
50, 67
51, 62
52, 72
53, 52
54, 53
55, 66
56, 70
57, 61
58, 52
59, 58
60, 55
61, 44
62, 40
63, 46
64, 43
65, 57
66, 40
67, 47
68, 43
69, 48
70, 44
71, 26
72, 41
73, 30
74, 35
75, 48
76, 48
77, 43
78, 40
79, 37
80, 32
81, 29
82, 35
83, 44
84, 30
85, 36
86, 30
87, 32
88, 49
89, 36
90, 31
91, 34
92, 28
93, 33
94, 29
95, 31
96, 34
97, 31
98, 24
99, 37
100, 38
101, 39
102, 20
103, 17
104, 25
105, 31
106, 27
107, 32
108, 20
109, 12
110, 16
111, 23
112, 20
113, 25
114, 22
115, 17
116, 27
117, 17
118, 22
119, 21
120, 21
121, 26
122, 25
123, 20
124, 18
125, 13
126, 26
127, 25
128, 19
129, 28
130, 18
131, 17
132, 19
133, 24
134, 20
135, 15
136, 16
137, 28
138, 22
139, 20
140, 16
141, 16
142, 12
143, 15
144, 18
145, 21
146, 14
147, 19
148, 17
149, 8
150, 14
151, 14
152, 14
153, 14
154, 10
155, 12
156, 12
157, 13
158, 14
159, 19
160, 11
161, 16
162, 11
163, 18
164, 11
165, 13
166, 9
167, 11
168, 11
169, 18
170, 15
171, 22
172, 13
173, 15
174, 12
175, 17
176, 17
177, 15
178, 12
179, 15
180, 12
181, 14
182, 18
183, 15
184, 9
185, 11
186, 12
187, 19
188, 11
189, 8
190, 8
191, 13
192, 8
193, 9
194, 3
195, 11
196, 11
197, 12
198, 9
199, 16
200, 11
201, 13
202, 6
203, 14
204, 15
205, 8
206, 10
207, 6
208, 11
209, 14
210, 12
211, 14
212, 10
213, 14
214, 9
215, 10
216, 8
217, 12
218, 8
219, 10
220, 10
221, 12
222, 9
223, 13
224, 11
225, 12
226, 8
227, 11
228, 6
229, 12
230, 11
231, 6
232, 11
233, 12
234, 3
235, 10
236, 11
237, 15
238, 7
239, 7
240, 4
241, 7
242, 10
243, 3
244, 11
245, 9
246, 11
247, 11
248, 4
249, 8
250, 14
251, 7
252, 9
253, 7
254, 8
255, 5
256, 10
257, 4
258, 7
259, 6
260, 10
261, 5
262, 8
263, 10
264, 9
265, 5
266, 7
267, 8
268, 3
269, 11
270, 9
271, 8
272, 7
273, 4
274, 6
275, 7
276, 9
277, 7
278, 3
279, 9
280, 8
281, 10
282, 5
283, 8
284, 10
285, 8
286, 10
287, 8
288, 7
289, 6
290, 14
291, 5
292, 7
293, 10
294, 12
295, 6
296, 6
297, 11
298, 7
299, 5
300, 10
301, 7
302, 6
303, 7
304, 3
305, 12
306, 5
307, 7
308, 7
309, 9
310, 4
311, 11
312, 2
313, 7
314, 4
315, 5
316, 8
317, 8
318, 6
319, 9
320, 8
321, 5
322, 2
323, 6
324, 6
325, 5
326, 5
327, 9
328, 5
329, 5
330, 8
331, 5
332, 3
333, 8
334, 7
335, 6
336, 7
337, 6
338, 9
339, 8
340, 5
341, 4
342, 5
343, 4
344, 2
345, 7
346, 3
347, 4
348, 9
349, 8
350, 4
351, 3
352, 4
353, 6
354, 10
355, 5
356, 3
357, 5
358, 6
359, 5
360, 5
361, 6
362, 4
363, 4
364, 7
365, 6
366, 7
367, 3
368, 6
369, 3
370, 6
372, 6
373, 9
374, 4
375, 4
376, 5
377, 8
378, 4
379, 6
380, 2
381, 3
382, 4
383, 6
384, 5
385, 7
386, 6
387, 2
388, 2
389, 5
390, 7
392, 2
393, 8
394, 3
395, 5
396, 3
397, 4
398, 2
399, 5
400, 6
401, 2
402, 2
403, 7
404, 6
405, 6
406, 1
407, 10
408, 2
409, 3
410, 4
411, 3
412, 3
413, 5
414, 6
415, 4
416, 3
417, 5
418, 4
419, 4
420, 1
421, 1
422, 1
423, 10
424, 4
425, 5
426, 8
427, 3
428, 5
429, 6
430, 3
431, 5
432, 1
433, 4
434, 7
435, 1
436, 5
437, 2
438, 2
439, 2
440, 2
441, 5
442, 5
443, 6
444, 2
445, 2
446, 2
447, 5
448, 2
449, 3
450, 4
452, 3
453, 6
454, 4
455, 5
456, 4
457, 1
458, 4
459, 2
460, 3
462, 4
463, 2
464, 4
465, 7
466, 5
467, 5
468, 4
470, 3
471, 5
472, 5
473, 4
474, 7
475, 1
476, 2
477, 5
478, 3
479, 1
480, 4
481, 1
482, 2
483, 3
484, 3
485, 5
486, 1
487, 2
488, 4
489, 2
490, 6
491, 4
492, 3
493, 6
494, 6
495, 6
496, 6
497, 2
498, 4
499, 4
500, 1
501, 3
502, 3
503, 1
504, 4
505, 6
506, 2
507, 4
508, 3
509, 4
511, 3
512, 5
513, 4
514, 2
515, 1
516, 3
517, 2
518, 5
519, 2
520, 3
521, 2
522, 2
523, 2
524, 2
525, 3
526, 3
527, 4
528, 2
529, 4
530, 2
531, 4
532, 2
533, 2
534, 3
535, 2
536, 2
537, 2
538, 3
539, 4
540, 5
541, 2
542, 5
544, 2
545, 5
546, 3
548, 1
549, 3
550, 6
551, 3
552, 5
553, 1
554, 2
555, 4
556, 5
557, 3
558, 2
560, 2
561, 1
562, 1
563, 2
564, 1
565, 5
566, 2
567, 3
568, 1
569, 2
570, 5
571, 2
572, 1
573, 1
574, 3
576, 1
577, 5
578, 2
579, 1
580, 1
581, 2
582, 1
583, 1
585, 2
587, 3
588, 1
589, 3
590, 1
591, 6
593, 1
594, 3
595, 1
596, 2
597, 2
598, 4
601, 1
602, 3
603, 3
604, 3
605, 1
606, 2
607, 3
608, 2
609, 2
610, 1
611, 4
612, 3
613, 3
614, 1
615, 4
616, 2
617, 1
618, 2
619, 1
620, 1
621, 4
622, 2
623, 2
624, 1
625, 3
626, 3
627, 2
628, 2
629, 2
630, 1
632, 1
633, 1
634, 1
635, 3
636, 4
637, 1
638, 1
639, 3
640, 1
641, 4
642, 3
643, 1
644, 2
645, 3
646, 1
647, 5
648, 4
649, 2
650, 2
652, 1
653, 2
654, 2
655, 1
656, 3
658, 1
659, 2
661, 2
663, 2
665, 1
666, 3
668, 2
669, 1
673, 2
674, 2
675, 1
676, 2
677, 1
678, 3
679, 1
680, 1
681, 2
682, 1
683, 1
684, 3
685, 2
687, 1
688, 1
690, 4
691, 2
693, 1
695, 1
696, 1
697, 4
698, 2
699, 1
700, 3
701, 1
702, 4
703, 1
704, 2
705, 1
707, 3
708, 1
709, 2
712, 1
714, 2
715, 2
719, 2
720, 1
724, 1
726, 2
727, 1
729, 1
731, 1
734, 1
735, 1
736, 3
737, 2
738, 1
740, 2
741, 2
742, 1
743, 2
745, 1
746, 2
748, 1
749, 1
750, 3
751, 2
754, 1
755, 2
756, 1
757, 1
758, 1
759, 2
760, 3
763, 3
765, 2
767, 2
769, 1
772, 3
773, 2
774, 2
776, 1
777, 1
778, 1
780, 1
781, 1
782, 1
783, 1
785, 1
786, 1
787, 2
788, 2
789, 1
790, 2
791, 2
792, 2
793, 1
796, 1
800, 2
802, 1
804, 2
805, 2
806, 1
810, 2
811, 1
813, 1
816, 1
818, 1
819, 1
820, 1
822, 2
823, 2
826, 1
829, 2
830, 1
831, 1
832, 1
833, 1
834, 2
840, 4
841, 1
842, 3
843, 1
844, 2
846, 2
848, 1
852, 2
853, 1
854, 2
855, 1
858, 1
861, 1
865, 3
866, 1
868, 1
871, 1
872, 1
874, 1
875, 2
876, 1
879, 2
880, 2
881, 1
883, 1
886, 1
889, 1
892, 1
894, 1
897, 1
898, 2
899, 1
900, 1
901, 2
902, 1
903, 2
906, 1
907, 1
909, 1
910, 2
916, 1
920, 1
921, 1
922, 1
928, 2
930, 1
931, 2
932, 1
933, 1
938, 1
940, 2
941, 2
942, 2
943, 1
944, 2
945, 1
946, 1
948, 1
949, 1
950, 1
952, 1
956, 1
957, 1
958, 2
959, 2
960, 1
962, 2
964, 1
965, 1
966, 1
968, 1
969, 1
972, 1
974, 1
980, 1
983, 2
985, 1
988, 2
990, 1
993, 1
996, 2
998, 1
999, 1
1000, 1
1001, 3
1007, 1
1009, 2
1011, 2
1012, 1
1013, 1
1014, 1
1016, 1
1017, 1
1019, 1
1020, 1
1026, 1
1028, 1
1029, 3
1031, 1
1032, 1
1052, 1
1056, 1
1057, 1
1059, 1
1060, 2
1061, 1
1064, 1
1067, 1
1069, 1
1072, 1
1079, 2
1080, 1
1082, 1
1083, 1
1087, 2
1092, 1
1094, 1
1111, 1
1112, 1
1116, 1
1118, 1
1122, 1
1124, 1
1127, 2
1134, 2
1136, 1
1150, 1
1169, 2
1176, 1
1178, 1
1181, 2
1185, 1
1186, 1
1187, 1
1190, 2
1196, 1
1197, 1
1200, 1
1202, 1
1208, 1
1210, 1
1213, 1
1219, 1
1225, 1
1236, 1
1241, 1
1250, 1
1265, 1
1278, 1
1280, 1
1286, 1
1301, 2
1304, 1
1314, 1
1315, 1
1339, 1
1344, 1
1363, 1
1373, 1
1378, 1
1400, 1
1407, 1
1427, 1
1441, 1
1448, 1
1454, 1
1457, 1
1458, 1
1486, 1
1522, 1
1525, 1
1599, 1
1606, 1
1616, 1
1674, 1
1718, 1
1725, 1
1732, 1
1797, 1
1967, 1
2432, 1
