Avalanche Magnitude, Number Avalanches
5, 1127
6, 18470
7, 20019
8, 16666
9, 12620
10, 6271
11, 4386
12, 2262
13, 1090
14, 673
15, 210
16, 214
17, 55
18, 344
19, 48
20, 395
21, 40
22, 398
23, 39
24, 321
25, 37
26, 259
27, 96
28, 193
29, 22
30, 298
31, 11
32, 67
33, 201
34, 47
35, 9
36, 252
37, 3
38, 36
39, 194
40, 78
41, 3
42, 213
43, 2
44, 114
45, 158
46, 22
47, 2
48, 295
49, 4
50, 16
51, 82
52, 203
53, 1
54, 68
55, 9
56, 191
57, 34
58, 10
60, 260
62, 15
63, 34
64, 134
65, 52
66, 38
68, 115
69, 30
70, 99
72, 124
74, 6
75, 110
76, 64
78, 26
80, 156
81, 20
82, 5
84, 69
85, 104
86, 2
87, 15
88, 30
90, 130
92, 26
93, 11
95, 77
96, 70
98, 7
99, 16
100, 79
102, 36
104, 25
105, 62
108, 56
110, 31
111, 11
112, 26
114, 46
115, 28
116, 22
117, 8
119, 13
120, 97
122, 2
123, 6
124, 15
125, 22
126, 49
128, 12
129, 2
130, 12
132, 56
133, 20
135, 18
136, 12
138, 24
140, 58
141, 3
144, 40
145, 23
146, 1
147, 27
148, 16
150, 31
152, 28
153, 10
154, 21
155, 16
156, 28
159, 1
160, 35
161, 22
162, 14
164, 7
165, 13
168, 65
170, 12
171, 5
172, 8
174, 8
175, 35
176, 30
177, 2
180, 33
182, 14
183, 1
184, 29
185, 15
186, 14
188, 3
189, 26
190, 9
192, 43
195, 5
196, 16
198, 28
200, 30
201, 1
203, 9
204, 14
205, 13
207, 17
208, 15
210, 29
212, 4
213, 1
215, 11
216, 37
217, 9
219, 2
220, 8
222, 7
224, 26
225, 22
228, 7
230, 6
231, 5
232, 16
234, 21
235, 10
236, 3
238, 6
240, 34
242, 1
243, 8
244, 4
245, 13
246, 6
248, 11
250, 15
252, 33
255, 5
256, 7
258, 5
259, 4
260, 21
261, 9
264, 18
265, 7
266, 3
268, 2
270, 27
272, 9
273, 7
275, 1
276, 7
279, 11
280, 39
282, 4
285, 8
286, 4
287, 7
288, 25
290, 15
292, 1
294, 9
295, 5
296, 6
297, 14
300, 22
301, 5
304, 8
305, 3
306, 15
308, 10
310, 9
312, 16
315, 15
316, 1
318, 1
319, 8
320, 12
322, 3
324, 18
325, 4
328, 7
329, 7
330, 22
333, 7
335, 2
336, 24
340, 8
341, 5
342, 13
343, 5
344, 7
348, 9
350, 11
351, 8
352, 15
354, 3
355, 1
357, 5
360, 20
363, 10
364, 13
365, 2
366, 4
368, 6
369, 3
370, 14
371, 4
372, 5
374, 2
376, 9
377, 3
378, 10
380, 6
384, 10
385, 14
387, 7
390, 12
392, 15
395, 3
396, 14
399, 3
400, 11
402, 4
403, 2
405, 3
406, 9
407, 7
408, 11
410, 11
413, 3
414, 10
416, 14
418, 3
420, 21
423, 2
424, 5
425, 3
429, 13
430, 5
432, 18
434, 2
435, 2
438, 2
440, 20
441, 4
442, 4
444, 5
445, 1
448, 11
450, 18
451, 7
455, 5
456, 9
459, 2
460, 7
462, 12
464, 4
465, 2
468, 17
469, 5
470, 4
472, 7
473, 4
474, 2
476, 7
477, 4
480, 12
481, 1
483, 7
484, 6
485, 1
486, 3
490, 10
492, 3
494, 5
495, 9
497, 4
498, 1
500, 3
504, 20
505, 2
506, 2
510, 8
511, 3
513, 6
516, 5
517, 4
518, 6
520, 7
522, 3
525, 2
528, 8
530, 3
531, 6
532, 2
533, 4
536, 4
539, 4
540, 14
544, 4
546, 10
549, 3
550, 13
552, 4
553, 2
555, 3
558, 3
559, 5
560, 12
561, 3
564, 8
567, 8
568, 1
570, 7
572, 8
574, 2
576, 13
580, 2
581, 2
582, 1
583, 2
585, 12
588, 11
590, 7
592, 3
594, 7
595, 1
598, 6
600, 14
602, 2
603, 1
605, 5
606, 1
608, 9
609, 2
610, 3
611, 6
612, 4
615, 3
616, 11
618, 1
620, 2
621, 2
623, 2
624, 13
627, 3
630, 11
632, 4
636, 5
637, 4
638, 3
639, 2
640, 8
644, 1
645, 3
646, 2
648, 8
650, 11
651, 1
656, 4
657, 2
658, 7
660, 15
663, 2
664, 3
665, 1
666, 3
670, 7
671, 3
672, 11
675, 5
676, 4
679, 1
680, 5
682, 4
684, 7
686, 2
688, 2
689, 2
690, 5
693, 5
696, 7
697, 1
700, 2
702, 7
704, 5
705, 2
708, 3
710, 3
711, 1
712, 3
714, 5
715, 6
720, 26
721, 1
726, 6
728, 5
729, 2
730, 2
731, 1
732, 5
735, 4
736, 1
737, 3
738, 2
740, 1
741, 2
742, 1
744, 9
747, 4
748, 4
749, 1
750, 6
752, 4
754, 1
756, 7
759, 3
760, 7
765, 4
767, 1
768, 6
770, 3
774, 2
779, 1
780, 10
781, 2
782, 1
783, 6
784, 7
790, 1
791, 1
792, 10
793, 2
795, 3
798, 2
799, 3
800, 8
801, 1
803, 1
804, 1
806, 3
808, 1
810, 4
814, 1
816, 10
817, 1
819, 6
820, 3
825, 4
826, 6
828, 6
830, 5
832, 7
833, 1
836, 4
837, 1
840, 5
845, 1
846, 3
847, 4
848, 3
850, 5
852, 2
854, 2
855, 5
858, 4
860, 2
864, 9
867, 2
868, 2
869, 2
870, 6
871, 4
873, 2
876, 3
880, 9
882, 4
884, 4
885, 2
888, 5
891, 3
893, 2
896, 4
897, 2
900, 12
901, 1
902, 2
903, 1
904, 1
909, 1
910, 2
912, 10
913, 1
915, 1
918, 4
920, 5
923, 1
924, 7
928, 4
930, 1
931, 2
935, 4
936, 9
940, 2
944, 1
945, 3
946, 2
948, 2
949, 3
950, 2
952, 6
954, 1
957, 2
959, 1
960, 11
962, 1
963, 3
968, 2
969, 6
970, 1
972, 4
975, 5
976, 2
979, 1
980, 3
981, 2
984, 5
988, 5
990, 13
992, 2
994, 1
996, 2
999, 1
1000, 3
1001, 6
1003, 3
1005, 3
1007, 3
1008, 11
1010, 4
1012, 3
1014, 3
1017, 1
1020, 10
1022, 1
1023, 3
1024, 3
1032, 2
1035, 7
1036, 1
1037, 1
1040, 4
1044, 2
1045, 5
1050, 7
1056, 10
1060, 2
1062, 2
1064, 4
1065, 1
1066, 1
1067, 1
1068, 1
1071, 1
1072, 3
1078, 3
1080, 12
1083, 2
1088, 2
1089, 3
1092, 8
1095, 1
1100, 5
1102, 5
1104, 8
1105, 6
1106, 2
1111, 2
1116, 4
1118, 3
1120, 9
1122, 5
1125, 1
1128, 2
1130, 2
1131, 2
1134, 6
1139, 3
1140, 8
1144, 7
1148, 5
1150, 2
1152, 10
1155, 3
1156, 1
1157, 6
1159, 1
1160, 2
1164, 2
1166, 2
1170, 4
1173, 4
1176, 1
1178, 1
1183, 1
1185, 2
1188, 5
1190, 3
1192, 1
1196, 5
1197, 2
1200, 6
1204, 1
1206, 2
1207, 2
1209, 1
1210, 5
1212, 1
1215, 3
1216, 3
1218, 2
1219, 2
1220, 1
1221, 2
1222, 2
1224, 7
1230, 1
1232, 11
1235, 4
1236, 1
1239, 1
1240, 2
1241, 2
1242, 4
1243, 1
1245, 2
1246, 3
1248, 7
1254, 2
1260, 6
1261, 3
1264, 1
1265, 1
1272, 3
1273, 2
1274, 4
1275, 4
1276, 5
1278, 1
1280, 6
1284, 2
1287, 3
1290, 1
1292, 2
1296, 5
1300, 2
1302, 1
1305, 2
1309, 2
1310, 1
1311, 1
1312, 3
1313, 2
1314, 2
1316, 1
1320, 9
1323, 2
1328, 4
1330, 5
1331, 1
1332, 3
1339, 1
1342, 2
1343, 1
1344, 7
1350, 2
1352, 3
1357, 1
1358, 1
1360, 2
1365, 5
1368, 4
1375, 2
1376, 2
1378, 1
1380, 2
1386, 6
1391, 2
1392, 2
1394, 1
1395, 1
1397, 1
1400, 9
1403, 1
1404, 6
1406, 1
1408, 1
1410, 2
1411, 2
1414, 2
1416, 2
1417, 1
1420, 2
1422, 4
1424, 4
1425, 1
1428, 5
1430, 2
1440, 5
1442, 2
1443, 1
1444, 1
1445, 4
1449, 3
1450, 2
1452, 4
1455, 3
1456, 1
1458, 2
1462, 3
1463, 4
1464, 2
1469, 1
1470, 5
1474, 3
1475, 1
1476, 1
1479, 1
1480, 1
1482, 2
1484, 2
1488, 1
1495, 2
1496, 1
1498, 4
1500, 2
1507, 1
1508, 2
1512, 5
1513, 3
1515, 3
1520, 4
1524, 1
1525, 2
1529, 1
1530, 2
1534, 2
1536, 1
1540, 5
1545, 2
1547, 1
1548, 1
1552, 1
1554, 3
1558, 1
1560, 5
1562, 1
1566, 1
1568, 1
1572, 1
1575, 2
1577, 2
1580, 1
1581, 4
1582, 1
1584, 4
1586, 2
1590, 2
1593, 1
1596, 8
1600, 3
1602, 1
1605, 2
1606, 1
1608, 2
1610, 3
1612, 2
1615, 2
1616, 3
1617, 2
1620, 5
1624, 1
1628, 2
1632, 3
1634, 1
1638, 2
1640, 2
1649, 4
1650, 1
1651, 1
1660, 3
1664, 2
1665, 3
1666, 3
1672, 5
1674, 1
1677, 1
1680, 7
1683, 4
1690, 1
1691, 2
1692, 3
1694, 1
1700, 3
1701, 1
1704, 3
1708, 1
1710, 1
1712, 3
1716, 3
1717, 1
1722, 3
1725, 2
1728, 4
1729, 3
1736, 1
1738, 1
1740, 2
1743, 3
1744, 1
1746, 1
1748, 1
1750, 3
1751, 1
1752, 1
1755, 1
1760, 1
1764, 3
1767, 2
1768, 5
1770, 1
1771, 2
1776, 3
1778, 2
1780, 3
1781, 2
1782, 3
1785, 6
1792, 2
1794, 3
1800, 6
1802, 3
1805, 1
1806, 1
1808, 4
1810, 1
1817, 1
1818, 3
1820, 4
1824, 3
1826, 1
1827, 1
1830, 2
1833, 1
1834, 1
1836, 1
1840, 4
1848, 3
1856, 3
1859, 1
1860, 3
1862, 1
1863, 4
1869, 1
1870, 1
1872, 4
1875, 2
1876, 2
1881, 2
1885, 1
1887, 3
1890, 2
1896, 3
1900, 5
1904, 5
1905, 1
1909, 2
1911, 3
1918, 2
1919, 1
1920, 1
1921, 1
1925, 1
1926, 3
1932, 3
1936, 4
1937, 1
1938, 2
1944, 1
1947, 1
1950, 4
1952, 1
1953, 1
1956, 1
1958, 2
1960, 2
1965, 1
1971, 1
1972, 1
1974, 4
1975, 1
1978, 2
1980, 4
1984, 3
1988, 1
1989, 3
1992, 1
1995, 2
1998, 1
2000, 2
2002, 1
2014, 2
2016, 2
2024, 4
2025, 1
2030, 1
2032, 2
2034, 1
2037, 1
2040, 6
2044, 1
2047, 1
2050, 1
2052, 3
2054, 3
2055, 1
2057, 4
2058, 2
2060, 1
2064, 5
2067, 2
2070, 4
2072, 1
2079, 1
2080, 2
2085, 1
2088, 2
2100, 5
2106, 1
2108, 2
2109, 1
2112, 6
2120, 2
2121, 2
2124, 3
2125, 2
2128, 3
2130, 1
2132, 1
2134, 1
2139, 1
2142, 2
2147, 1
2150, 1
2156, 2
2159, 2
2160, 9
2163, 3
2175, 1
2176, 3
2178, 1
2180, 1
2184, 1
2185, 1
2190, 1
2192, 2
2193, 1
2196, 3
2200, 2
2204, 1
2208, 3
2210, 3
2214, 5
2220, 2
2222, 2
2223, 1
2226, 1
2232, 1
2240, 1
2241, 1
2242, 2
2244, 2
2247, 2
2250, 1
2254, 1
2256, 1
2260, 1
2261, 3
2262, 2
2266, 1
2268, 5
2272, 1
2275, 1
2277, 3
2278, 1
2280, 5
2286, 3
2288, 6
2289, 1
2304, 1
2310, 3
2312, 2
2318, 2
2320, 3
2323, 1
2324, 1
2327, 1
2331, 1
2332, 3
2336, 1
2337, 2
2340, 2
2346, 2
2350, 2
2352, 2
2354, 1
2355, 1
2356, 2
2358, 1
2360, 2
2363, 1
2366, 1
2368, 2
2369, 1
2373, 1
2376, 2
2384, 1
2392, 2
2394, 5
2397, 2
2398, 1
2400, 9
2407, 1
2408, 1
2415, 2
2418, 2
2420, 2
2422, 1
2424, 1
2430, 1
2432, 4
2436, 2
2440, 1
2442, 2
2448, 3
2450, 2
2460, 3
2461, 1
2464, 3
2465, 1
2466, 2
2472, 1
2475, 1
2478, 2
2482, 2
2484, 2
2486, 1
2490, 1
2496, 1
2499, 1
2500, 1
2502, 1
2507, 1
2508, 3
2520, 4
2522, 2
2527, 2
2528, 2
2530, 2
2533, 1
2534, 1
2538, 2
2541, 4
2544, 1
2546, 1
2550, 1
2553, 1
2556, 1
2560, 2
2565, 1
2567, 1
2573, 2
2574, 3
2576, 1
2580, 3
2583, 2
2584, 3
2592, 4
2595, 2
2600, 2
2603, 2
2604, 1
2610, 2
2618, 2
2619, 1
2620, 1
2624, 2
2625, 2
2626, 1
2628, 1
2640, 1
2646, 2
2650, 1
2652, 4
2656, 2
2662, 1
2664, 3
2667, 1
2668, 1
2672, 2
2688, 5
2697, 1
2698, 1
2703, 1
2704, 2
2706, 2
2709, 1
2712, 1
2716, 1
2717, 1
2720, 1
2727, 2
2730, 3
2737, 1
2745, 1
2751, 1
2752, 1
2755, 1
2760, 3
2771, 2
2772, 3
2774, 2
2775, 2
2780, 1
2782, 1
2783, 1
2784, 2
2790, 1
2793, 2
2800, 3
2806, 1
2808, 2
2821, 2
2822, 1
2828, 1
2829, 1
2831, 1
2832, 2
2834, 1
2835, 2
2839, 1
2852, 2
2856, 1
2860, 1
2862, 1
2871, 2
2877, 4
2880, 1
2882, 2
2884, 1
2898, 4
2900, 2
2904, 2
2907, 1
2914, 1
2916, 1
2924, 1
2925, 5
2926, 3
2934, 1
2940, 1
2944, 2
2960, 1
2961, 3
2967, 1
2975, 4
2982, 1
2985, 1
2988, 1
2990, 1
2992, 1
2996, 2
3000, 1
3002, 1
3008, 1
3013, 2
3014, 1
3016, 1
3020, 2
3024, 6
3026, 1
3036, 2
3038, 1
3042, 1
3045, 1
3048, 1
3050, 1
3058, 1
3060, 1
3066, 1
3069, 2
3072, 3
3075, 2
3078, 3
3080, 2
3082, 1
3094, 3
3096, 1
3100, 2
3102, 1
3105, 1
3108, 1
3111, 1
3120, 1
3125, 2
3128, 1
3129, 1
3132, 1
3146, 3
3150, 2
3151, 2
3161, 1
3162, 3
3168, 3
3172, 2
3186, 1
3192, 4
3198, 1
3200, 2
3201, 1
3204, 1
3210, 1
3211, 1
3213, 1
3216, 1
3220, 3
3230, 1
3232, 1
3234, 2
3240, 2
3248, 1
3249, 2
3250, 1
3255, 2
3256, 1
3260, 2
3263, 1
3264, 1
3266, 1
3280, 1
3281, 1
3288, 1
3290, 1
3294, 1
3300, 1
3304, 1
3306, 1
3312, 1
3320, 1
3325, 2
3328, 1
3330, 1
3332, 1
3335, 4
3336, 3
3348, 1
3349, 1
3354, 1
3360, 5
3364, 2
3366, 3
3375, 4
3379, 1
3380, 1
3381, 3
3384, 2
3388, 1
3402, 2
3404, 2
3410, 2
3416, 1
3422, 1
3423, 1
3424, 1
3427, 1
3432, 1
3439, 1
3440, 1
3444, 1
3450, 7
3451, 1
3456, 1
3458, 1
3465, 1
3468, 1
3473, 2
3475, 1
3480, 3
3483, 3
3484, 2
3485, 1
3500, 2
3507, 1
3509, 1
3510, 1
3531, 1
3534, 1
3537, 2
3542, 1
3549, 1
3552, 1
3562, 2
3564, 3
3565, 2
3570, 2
3575, 1
3580, 1
3584, 1
3588, 2
3591, 1
3600, 3
3612, 4
3614, 2
3616, 1
3620, 3
3624, 1
3625, 2
3640, 5
3648, 2
3654, 3
3657, 1
3660, 1
3672, 1
3674, 1
3675, 3
3686, 1
3690, 1
3692, 1
3696, 3
3706, 1
3712, 1
3717, 1
3718, 1
3720, 2
3724, 2
3726, 2
3738, 1
3744, 4
3745, 1
3749, 1
3751, 1
3752, 2
3762, 3
3770, 1
3780, 2
3782, 3
3784, 1
3792, 2
3800, 4
3801, 1
3808, 1
3816, 2
3822, 1
3828, 3
3840, 2
3841, 1
3848, 2
3850, 1
3857, 2
3861, 1
3864, 1
3870, 3
3876, 1
3885, 1
3887, 1
3888, 1
3894, 1
3900, 1
3904, 1
3906, 1
3910, 1
3912, 2
3913, 1
3915, 3
3916, 1
3920, 2
3925, 2
3930, 1
3938, 1
3942, 1
3948, 1
3950, 1
3956, 1
3959, 1
3960, 2
3968, 2
3979, 1
3980, 1
3984, 2
3990, 2
3999, 2
4000, 1
4004, 3
4009, 1
4020, 2
4032, 2
4040, 1
4050, 3
4074, 1
4075, 1
4077, 1
4080, 1
4082, 2
4088, 1
4092, 3
4094, 3
4095, 1
4096, 1
4100, 1
4110, 1
4116, 1
4117, 2
4125, 1
4130, 1
4134, 1
4136, 1
4144, 1
4148, 1
4154, 1
4158, 1
4160, 1
4161, 1
4170, 1
4173, 1
4175, 1
4176, 1
4181, 1
4186, 1
4200, 5
4202, 1
4205, 1
4212, 1
4247, 2
4256, 1
4257, 1
4266, 1
4275, 3
4280, 1
4288, 2
4290, 1
4292, 1
4296, 1
4309, 1
4312, 1
4318, 2
4320, 2
4324, 1
4325, 1
4334, 3
4340, 2
4342, 1
4347, 1
4350, 1
4352, 1
4356, 1
4368, 4
4370, 1
4371, 1
4379, 1
4380, 2
4402, 1
4407, 2
4416, 2
4425, 1
4433, 1
4437, 1
4444, 1
4445, 2
4448, 2
4454, 1
4455, 4
4464, 2
4480, 2
4485, 2
4488, 2
4494, 1
4500, 3
4508, 2
4520, 1
4524, 1
4532, 1
4536, 2
4553, 1
4554, 2
4560, 1
4564, 1
4572, 1
4575, 1
4576, 1
4582, 1
4587, 1
4592, 1
4598, 1
4602, 2
4617, 1
4619, 1
4620, 2
4623, 1
4625, 1
4632, 1
4640, 2
4675, 2
4680, 1
4692, 1
4698, 1
4699, 1
4700, 1
4704, 1
4706, 1
4715, 1
4720, 2
4725, 1
4732, 2
4740, 1
4746, 1
4750, 2
4752, 2
4756, 1
4758, 2
4760, 2
4774, 1
4775, 1
4779, 2
4795, 1
4800, 2
4805, 1
4807, 1
4825, 1
4826, 1
4832, 1
4836, 1
4844, 1
4859, 1
4860, 1
4862, 1
4865, 1
4867, 2
4872, 1
4884, 2
4888, 1
4890, 1
4896, 1
4898, 2
4900, 1
4914, 1
4920, 1
4921, 1
4928, 2
4941, 1
4950, 3
4960, 5
4966, 1
4968, 2
4970, 1
4975, 1
4980, 2
4984, 1
4991, 2
4995, 1
4998, 3
5031, 1
5032, 2
5040, 2
5046, 1
5049, 3
5050, 1
5060, 2
5064, 1
5070, 2
5076, 1
5080, 2
5082, 1
5088, 2
5096, 1
5100, 1
5103, 1
5106, 1
5112, 2
5122, 1
5124, 1
5129, 1
5130, 1
5143, 1
5148, 5
5152, 3
5160, 1
5162, 1
5168, 1
5192, 1
5200, 1
5203, 1
5216, 1
5220, 1
5221, 1
5225, 3
5226, 2
5239, 1
5240, 1
5244, 2
5248, 1
5250, 3
5256, 1
5264, 1
5270, 2
5275, 2
5278, 1
5280, 3
5292, 3
5301, 1
5304, 1
5310, 1
5313, 1
5336, 3
5344, 1
5346, 1
5352, 1
5355, 1
5356, 1
5363, 1
5365, 1
5368, 1
5370, 1
5371, 1
5372, 1
5376, 1
5382, 2
5394, 1
5400, 3
5406, 2
5408, 1
5412, 1
5423, 1
5424, 1
5425, 1
5434, 1
5436, 1
5439, 2
5440, 1
5452, 1
5453, 1
5460, 3
5461, 1
5472, 1
5474, 1
5476, 1
5495, 1
5504, 2
5525, 1
5536, 2
5538, 1
5544, 2
5550, 1
5564, 1
5565, 1
5575, 1
5576, 1
5580, 1
5587, 1
5592, 2
5610, 1
5616, 2
5640, 1
5642, 2
5643, 2
5644, 1
5652, 1
5655, 1
5661, 1
5670, 3
5676, 1
5684, 2
5694, 1
5696, 1
5697, 1
5699, 1
5700, 2
5704, 2
5709, 1
5720, 1
5724, 2
5727, 1
5730, 1
5735, 2
5742, 1
5746, 1
5750, 2
5751, 2
5760, 3
5771, 1
5772, 2
5790, 1
5796, 3
5797, 2
5814, 1
5828, 1
5829, 1
5830, 1
5832, 2
5848, 1
5850, 2
5858, 1
5865, 2
5868, 1
5874, 1
5880, 2
5883, 1
5887, 1
5888, 2
5889, 1
5890, 1
5904, 1
5907, 1
5915, 1
5920, 1
5921, 1
5940, 1
5945, 2
5952, 1
5980, 1
5984, 1
5985, 1
6014, 1
6024, 1
6032, 1
6048, 2
6058, 1
6075, 1
6076, 1
6080, 1
6084, 1
6086, 1
6096, 1
6107, 1
6112, 1
6119, 1
6120, 3
6125, 1
6156, 1
6160, 1
6162, 1
6169, 1
6171, 1
6188, 1
6200, 1
6210, 1
6222, 1
6235, 1
6240, 2
6253, 1
6265, 2
6270, 1
6272, 1
6275, 1
6279, 1
6290, 1
6291, 1
6293, 1
6300, 1
6318, 1
