Avalanche Grain Count,  Number Avalanches
1, 84452
2, 2492
3, 1883
4, 1716
5, 1260
6, 590
7, 505
8, 508
9, 433
10, 332
11, 307
12, 322
13, 249
14, 192
15, 176
16, 184
17, 173
18, 131
19, 121
20, 132
21, 122
22, 116
23, 123
24, 120
25, 109
26, 101
27, 92
28, 77
29, 72
30, 89
31, 94
32, 78
33, 69
34, 68
35, 59
36, 72
37, 58
38, 65
39, 71
40, 63
41, 54
42, 74
43, 57
44, 53
45, 55
46, 36
47, 54
48, 43
49, 53
50, 47
51, 44
52, 33
53, 31
54, 28
55, 31
56, 49
57, 36
58, 38
59, 44
60, 24
61, 23
62, 34
63, 32
64, 30
65, 29
66, 24
67, 27
68, 23
69, 39
70, 17
71, 28
72, 28
73, 21
74, 22
75, 20
76, 14
77, 21
78, 25
79, 21
80, 16
81, 31
82, 14
83, 12
84, 11
85, 18
86, 18
87, 16
88, 9
89, 9
90, 12
91, 10
92, 17
93, 9
94, 8
95, 22
96, 16
97, 16
98, 10
99, 15
100, 10
101, 13
102, 9
103, 7
104, 13
105, 11
106, 15
107, 12
108, 8
109, 6
110, 11
111, 8
112, 6
113, 9
114, 8
115, 8
116, 8
117, 9
118, 10
119, 9
120, 6
121, 5
122, 5
123, 8
124, 11
125, 10
126, 15
127, 4
128, 9
129, 1
130, 6
131, 7
132, 6
133, 2
134, 3
135, 3
136, 5
137, 3
138, 4
139, 3
140, 2
141, 5
142, 5
143, 5
144, 6
145, 3
146, 6
147, 3
148, 5
149, 6
150, 2
152, 1
153, 6
155, 3
156, 3
157, 2
158, 1
159, 3
160, 3
161, 3
162, 1
163, 2
164, 2
165, 2
167, 6
168, 1
169, 2
171, 2
172, 2
173, 2
174, 1
175, 5
176, 1
177, 1
178, 4
179, 3
180, 3
181, 1
183, 2
184, 1
185, 2
186, 2
187, 1
189, 3
190, 1
192, 1
193, 2
194, 1
195, 3
196, 2
197, 1
198, 2
199, 2
200, 2
201, 1
203, 1
206, 1
209, 1
212, 3
215, 1
217, 2
219, 2
228, 1
229, 1
232, 1
237, 1
245, 1
252, 1
266, 1
274, 1
280, 1
281, 2
303, 1
352, 1
