Avalanche Magnitude, Number Avalanches
5, 10176
6, 9204
7, 9868
8, 9771
9, 9492
10, 7857
11, 4633
12, 3865
13, 2820
14, 3479
15, 202
16, 1259
17, 130
18, 1431
19, 124
20, 1459
21, 91
22, 1189
23, 59
24, 963
25, 52
26, 749
27, 231
28, 545
29, 38
30, 808
31, 34
32, 129
33, 571
34, 90
35, 20
36, 604
37, 18
38, 72
39, 484
40, 101
41, 13
42, 449
43, 6
44, 161
45, 301
46, 56
47, 6
48, 477
49, 2
50, 66
51, 112
52, 260
53, 3
54, 125
55, 2
56, 326
57, 39
58, 52
59, 1
60, 350
61, 1
62, 34
63, 28
64, 260
65, 45
66, 66
68, 193
69, 23
70, 121
72, 169
74, 24
75, 168
76, 88
78, 43
79, 1
80, 220
81, 24
82, 20
84, 88
85, 128
86, 18
87, 23
88, 42
90, 225
92, 46
93, 20
94, 13
95, 108
96, 112
98, 13
99, 24
100, 112
102, 125
104, 27
105, 81
106, 5
108, 155
110, 34
111, 21
112, 28
114, 99
115, 15
116, 14
117, 13
118, 5
119, 10
120, 142
122, 1
123, 16
124, 19
125, 11
126, 113
128, 33
129, 14
130, 13
132, 86
133, 46
134, 1
135, 31
136, 14
138, 40
140, 84
141, 9
142, 3
144, 51
145, 10
147, 67
148, 18
150, 33
152, 33
153, 12
154, 60
155, 11
156, 31
158, 3
159, 9
160, 47
161, 44
162, 29
164, 10
165, 16
168, 102
170, 12
171, 8
172, 12
174, 17
175, 30
176, 47
177, 5
178, 1
180, 31
182, 14
183, 6
184, 63
185, 17
186, 15
188, 10
189, 33
190, 10
192, 70
194, 1
195, 10
196, 32
198, 33
200, 46
201, 2
203, 7
204, 24
205, 7
207, 21
208, 54
210, 39
212, 7
213, 2
215, 17
216, 63
217, 9
219, 2
220, 17
222, 12
224, 33
225, 36
228, 22
230, 18
231, 11
232, 28
234, 45
235, 10
236, 3
238, 11
240, 45
243, 25
244, 10
245, 21
246, 10
248, 21
250, 25
252, 47
253, 1
255, 3
256, 9
258, 10
259, 6
260, 20
261, 15
264, 17
265, 7
266, 6
268, 4
270, 44
272, 8
273, 7
275, 13
276, 15
279, 9
280, 50
282, 7
284, 3
285, 6
286, 4
287, 6
288, 22
290, 18
292, 3
294, 13
295, 3
296, 11
297, 22
300, 33
301, 9
304, 15
305, 6
306, 15
308, 40
310, 14
312, 18
315, 15
318, 8
319, 22
320, 22
322, 8
324, 18
325, 8
328, 12
329, 9
330, 32
332, 1
333, 4
335, 7
336, 30
338, 1
340, 14
341, 15
342, 17
343, 13
344, 6
345, 6
348, 12
350, 15
351, 9
352, 22
354, 6
355, 6
356, 2
357, 7
360, 36
363, 6
364, 9
365, 2
366, 4
368, 6
369, 2
370, 6
371, 8
372, 18
374, 8
376, 7
377, 4
378, 17
380, 4
384, 29
385, 18
387, 4
390, 24
392, 15
395, 2
396, 28
399, 5
400, 7
402, 7
403, 5
404, 1
405, 5
406, 6
407, 3
408, 21
410, 7
412, 1
413, 5
414, 11
415, 4
416, 12
418, 6
420, 27
423, 7
424, 4
425, 1
426, 3
427, 5
429, 14
430, 3
432, 18
434, 4
438, 3
440, 16
441, 10
442, 8
444, 12
445, 1
448, 16
450, 12
451, 7
455, 19
456, 14
459, 7
460, 6
462, 15
464, 6
465, 3
468, 20
469, 1
470, 7
472, 5
473, 2
474, 4
475, 1
476, 18
477, 2
480, 24
481, 1
483, 2
484, 6
485, 1
486, 7
488, 4
490, 21
492, 2
494, 10
495, 15
496, 5
497, 6
498, 3
500, 9
504, 23
506, 3
507, 8
510, 14
511, 1
512, 4
513, 1
516, 3
517, 4
518, 8
520, 6
522, 4
525, 10
528, 11
530, 4
531, 2
532, 12
533, 5
535, 1
536, 2
539, 9
540, 12
544, 5
546, 16
549, 3
550, 13
552, 8
553, 4
555, 12
558, 5
559, 7
560, 18
561, 4
564, 1
567, 7
568, 3
570, 9
572, 2
574, 5
576, 12
580, 3
581, 6
582, 3
583, 4
585, 12
588, 16
590, 2
592, 9
594, 10
595, 5
598, 7
600, 23
602, 8
603, 3
605, 8
608, 13
609, 3
610, 3
611, 4
612, 7
615, 5
616, 18
618, 1
620, 4
621, 2
623, 1
624, 13
627, 2
629, 2
630, 15
632, 4
636, 11
637, 4
638, 6
639, 5
640, 7
644, 8
645, 6
646, 4
648, 7
650, 7
656, 4
657, 2
658, 2
660, 17
663, 8
664, 1
665, 2
666, 3
670, 4
671, 1
672, 21
675, 11
676, 2
678, 1
679, 1
680, 4
682, 5
684, 8
686, 6
688, 4
689, 1
690, 8
693, 7
696, 7
697, 5
700, 6
702, 10
704, 7
705, 5
707, 1
708, 5
710, 4
711, 2
712, 1
714, 5
715, 4
720, 21
721, 2
726, 4
728, 14
729, 2
730, 5
731, 4
732, 4
735, 6
736, 6
737, 5
738, 4
740, 1
741, 3
742, 5
744, 7
747, 2
748, 10
750, 7
752, 6
754, 1
756, 11
759, 2
760, 4
765, 8
767, 4
768, 6
770, 4
774, 3
779, 2
780, 19
781, 5
782, 5
783, 4
784, 7
790, 3
791, 1
792, 11
793, 2
798, 5
799, 2
800, 6
801, 3
803, 3
804, 5
806, 3
808, 1
810, 5
812, 2
814, 4
816, 11
817, 1
819, 1
820, 3
824, 1
825, 7
828, 8
830, 3
832, 4
833, 8
836, 11
837, 3
840, 12
845, 4
846, 4
847, 5
848, 4
850, 7
852, 6
854, 2
855, 7
858, 7
860, 2
861, 1
864, 12
867, 3
868, 7
869, 4
870, 7
871, 2
872, 2
873, 1
874, 2
876, 2
880, 9
882, 4
884, 4
885, 3
888, 7
890, 2
891, 7
893, 4
896, 1
897, 4
900, 13
901, 1
902, 1
903, 1
909, 1
910, 6
912, 2
913, 1
915, 2
918, 7
920, 2
923, 2
924, 10
927, 2
928, 5
930, 5
931, 3
935, 4
936, 9
938, 3
940, 3
944, 3
945, 5
946, 2
948, 6
949, 2
950, 11
952, 8
954, 4
957, 2
960, 9
962, 1
963, 1
966, 3
968, 5
969, 1
970, 2
972, 4
975, 6
976, 2
979, 1
980, 5
981, 1
984, 2
986, 3
987, 4
988, 7
990, 14
992, 1
994, 4
996, 2
999, 1
1000, 2
1001, 6
1003, 2
1005, 5
1007, 2
1008, 9
1012, 1
1014, 5
1016, 1
1020, 8
1022, 3
1023, 4
1024, 4
1026, 4
1027, 3
1029, 2
1032, 3
1034, 1
1035, 5
1036, 2
1037, 4
1040, 8
1044, 3
1045, 4
1050, 5
1053, 2
1054, 3
1056, 11
1060, 3
1062, 4
1064, 5
1065, 1
1066, 4
1067, 1
1068, 4
1070, 1
1071, 7
1072, 2
1078, 6
1079, 5
1080, 12
1081, 1
1088, 3
1089, 3
1090, 3
1092, 9
1095, 4
1098, 2
1100, 4
1102, 2
1104, 5
1105, 4
1106, 4
1110, 3
1111, 1
1113, 3
1116, 5
1118, 3
1120, 7
1121, 1
1122, 7
1125, 1
1128, 3
1130, 1
1131, 2
1133, 2
1134, 6
1136, 2
1139, 4
1140, 7
1143, 1
1144, 1
1148, 5
1150, 1
1152, 5
1155, 4
1157, 2
1160, 3
1164, 1
1166, 4
1168, 5
1170, 8
1173, 4
1176, 3
1177, 3
1178, 2
1179, 1
1180, 1
1183, 2
1184, 3
1185, 1
1188, 7
1190, 7
1196, 1
1197, 6
1199, 2
1200, 11
1204, 6
1206, 1
1207, 1
1209, 1
1210, 7
1215, 2
1216, 7
1218, 3
1220, 1
1221, 3
1222, 3
1224, 6
1230, 8
1232, 10
1235, 3
1236, 4
1239, 1
1240, 3
1241, 2
1242, 2
1245, 1
1246, 1
1248, 7
1254, 6
1258, 2
1260, 12
1265, 1
1269, 3
1272, 2
1273, 1
1274, 1
1275, 3
1276, 4
1278, 3
1280, 5
1281, 3
1287, 8
1288, 1
1290, 5
1292, 1
1296, 7
1298, 1
1300, 4
1302, 5
1305, 4
1308, 1
1309, 1
1312, 2
1313, 3
1314, 1
1316, 2
1320, 9
1323, 1
1326, 7
1328, 2
1330, 3
1331, 3
1332, 3
1334, 1
1335, 2
1339, 1
1340, 3
1342, 2
1344, 11
1349, 1
1350, 6
1352, 2
1357, 1
1358, 4
1360, 10
1364, 2
1365, 4
1368, 6
1372, 4
1376, 1
1377, 2
1378, 1
1380, 8
1386, 5
1390, 1
1391, 1
1392, 1
1394, 4
1395, 3
1397, 1
1400, 3
1404, 4
1406, 2
1407, 2
1408, 4
1410, 1
1411, 3
1416, 1
1417, 2
1419, 1
1420, 1
1422, 3
1424, 1
1425, 5
1428, 5
1430, 3
1440, 10
1441, 3
1442, 3
1443, 2
1444, 2
1445, 4
1449, 1
1452, 7
1455, 3
1456, 5
1458, 1
1460, 2
1462, 1
1463, 3
1464, 2
1469, 2
1470, 4
1472, 4
1474, 3
1476, 4
1480, 2
1482, 3
1484, 1
1485, 3
1488, 6
1494, 2
1495, 1
1496, 3
1498, 1
1500, 8
1501, 3
1504, 3
1512, 6
1513, 1
1515, 3
1518, 3
1520, 4
1521, 1
1524, 1
1526, 2
1529, 1
1530, 3
1533, 2
1534, 4
1536, 1
1539, 2
1540, 3
1541, 1
1545, 2
1547, 4
1548, 5
1552, 3
1554, 7
1558, 3
1560, 5
1562, 2
1564, 1
1566, 1
1568, 10
1572, 1
1573, 1
1575, 5
1577, 4
1580, 4
1581, 1
1584, 7
1586, 1
1587, 1
1590, 2
