Avalanche Grain Count,  Number Avalanches
1, 72453
2, 9216
3, 4021
4, 2256
5, 1428
6, 1037
7, 794
8, 664
9, 512
10, 445
11, 429
12, 359
13, 301
14, 320
15, 281
16, 265
17, 253
18, 210
19, 208
20, 186
21, 189
22, 194
23, 160
24, 155
25, 155
26, 123
27, 156
28, 125
29, 110
30, 128
31, 128
32, 120
33, 96
34, 83
35, 86
36, 88
37, 84
38, 81
39, 70
40, 72
41, 81
42, 70
43, 61
44, 61
45, 59
46, 52
47, 59
48, 48
49, 49
50, 47
51, 62
52, 55
53, 46
54, 47
55, 39
56, 49
57, 40
58, 36
59, 31
60, 29
61, 29
62, 36
63, 34
64, 32
65, 41
66, 35
67, 23
68, 27
69, 31
70, 18
71, 19
72, 17
73, 28
74, 26
75, 22
76, 21
77, 14
78, 14
79, 17
80, 17
81, 18
82, 14
83, 14
84, 19
85, 14
86, 14
87, 10
88, 7
89, 9
90, 14
91, 11
92, 13
93, 8
94, 9
95, 10
96, 8
97, 7
98, 15
99, 8
100, 8
101, 7
102, 6
103, 8
104, 7
105, 8
106, 7
107, 4
108, 6
109, 8
110, 5
111, 10
112, 4
113, 7
114, 4
115, 7
116, 4
117, 8
118, 6
120, 2
121, 6
122, 1
123, 3
125, 2
127, 5
128, 4
129, 2
130, 2
131, 2
132, 3
133, 1
134, 1
135, 4
136, 4
137, 3
138, 3
140, 2
141, 2
142, 1
143, 1
144, 2
145, 2
146, 1
147, 3
148, 1
151, 1
152, 1
154, 2
155, 1
157, 1
158, 1
161, 1
162, 3
163, 1
165, 1
167, 2
168, 1
170, 1
174, 1
183, 1
187, 2
190, 1
193, 1
196, 1
203, 1
205, 1
224, 1
270, 1
