Avalanche Movement, Number Avalanches
5, 9265
6, 10586
7, 15925
8, 16046
9, 11313
10, 7387
11, 4432
12, 3352
13, 2214
14, 1850
15, 998
16, 772
17, 618
18, 502
19, 476
20, 424
21, 383
22, 337
23, 330
24, 278
25, 266
26, 242
27, 251
28, 217
29, 222
30, 186
31, 196
32, 171
33, 168
34, 173
35, 132
36, 144
37, 148
38, 144
39, 136
40, 138
41, 141
42, 122
43, 103
44, 105
45, 119
46, 96
47, 101
48, 104
49, 98
50, 76
51, 86
52, 89
53, 88
54, 95
55, 91
56, 84
57, 83
58, 72
59, 70
60, 73
61, 74
62, 62
63, 79
64, 72
65, 63
66, 66
67, 66
68, 67
69, 74
70, 67
71, 50
72, 56
73, 59
74, 71
75, 65
76, 66
77, 67
78, 66
79, 55
80, 64
81, 47
82, 75
83, 66
84, 54
85, 62
86, 45
87, 54
88, 58
89, 52
90, 45
91, 53
92, 49
93, 44
94, 45
95, 44
96, 53
97, 45
98, 36
99, 40
100, 43
101, 38
102, 49
103, 43
104, 39
105, 32
106, 30
107, 44
108, 41
109, 34
110, 35
111, 44
112, 44
113, 44
114, 35
115, 33
116, 49
117, 44
118, 32
119, 49
120, 41
121, 36
122, 38
123, 35
124, 31
125, 29
126, 28
127, 34
128, 34
129, 42
130, 31
131, 37
132, 31
133, 48
134, 33
135, 36
136, 29
137, 40
138, 37
139, 21
140, 19
141, 33
142, 29
143, 23
144, 28
145, 29
146, 31
147, 24
148, 24
149, 28
150, 19
151, 31
152, 31
153, 24
154, 22
155, 28
156, 22
157, 32
158, 24
159, 28
160, 25
161, 33
162, 22
163, 25
164, 22
165, 28
166, 16
167, 21
168, 20
169, 17
170, 25
171, 28
172, 21
173, 22
174, 20
175, 19
176, 16
177, 20
178, 30
179, 19
180, 24
181, 29
182, 14
183, 25
184, 25
185, 18
186, 19
187, 17
188, 18
189, 28
190, 16
191, 21
192, 16
193, 25
194, 13
195, 26
196, 14
197, 24
198, 12
199, 18
200, 14
201, 14
202, 13
203, 14
204, 13
205, 22
206, 19
207, 13
208, 16
209, 20
210, 12
211, 29
212, 13
213, 21
214, 13
215, 18
216, 14
217, 18
218, 11
219, 20
220, 20
221, 15
222, 15
223, 23
224, 14
225, 13
226, 16
227, 14
228, 16
229, 9
230, 12
231, 12
232, 18
233, 16
234, 13
235, 10
236, 8
237, 19
238, 18
239, 12
240, 16
241, 13
242, 14
243, 14
244, 8
245, 8
246, 9
247, 11
248, 12
249, 17
250, 14
251, 11
252, 13
253, 10
254, 11
255, 15
256, 11
257, 13
258, 5
259, 11
260, 15
261, 12
262, 9
263, 7
264, 7
265, 9
266, 13
267, 16
268, 13
269, 11
270, 10
271, 10
272, 8
273, 8
274, 3
275, 15
276, 11
277, 11
278, 9
279, 12
280, 6
281, 11
282, 12
283, 7
284, 11
285, 16
286, 11
287, 13
288, 6
289, 5
290, 13
291, 8
292, 12
293, 5
294, 3
295, 9
296, 7
297, 7
298, 12
299, 7
300, 6
301, 11
302, 11
303, 7
304, 12
305, 4
306, 7
307, 10
308, 11
309, 9
310, 5
311, 10
312, 8
313, 12
314, 8
315, 8
316, 7
317, 12
318, 11
319, 8
320, 10
321, 7
322, 2
323, 6
324, 8
325, 8
326, 7
327, 6
328, 9
329, 5
330, 6
331, 4
332, 6
333, 5
334, 9
335, 9
336, 8
337, 7
338, 7
339, 6
340, 5
341, 6
342, 7
343, 5
344, 12
345, 10
346, 4
347, 10
348, 7
349, 7
350, 4
351, 10
352, 4
353, 3
354, 6
355, 5
356, 3
357, 6
358, 5
359, 11
360, 3
361, 5
362, 10
363, 1
364, 1
365, 4
366, 4
367, 5
368, 8
369, 3
370, 4
371, 7
372, 8
373, 3
374, 7
375, 6
376, 8
377, 6
378, 6
379, 4
380, 6
381, 7
382, 5
383, 6
384, 3
385, 6
386, 9
387, 5
388, 5
389, 3
390, 4
391, 9
392, 5
393, 6
394, 6
395, 6
396, 5
397, 3
398, 2
399, 9
400, 5
401, 2
402, 2
403, 6
404, 6
405, 3
406, 4
407, 6
408, 4
409, 3
410, 3
411, 8
412, 5
413, 4
414, 5
415, 7
416, 4
417, 4
418, 1
419, 5
420, 3
421, 5
422, 2
423, 3
424, 10
425, 3
426, 5
427, 4
428, 5
429, 4
430, 1
431, 6
432, 5
433, 2
434, 2
435, 2
436, 3
437, 6
438, 3
439, 4
440, 3
441, 1
442, 1
443, 2
444, 6
445, 5
446, 2
447, 3
448, 4
449, 3
450, 5
451, 4
452, 3
453, 4
454, 5
455, 2
456, 2
457, 1
458, 1
459, 2
460, 2
461, 3
462, 2
464, 1
465, 2
466, 3
467, 2
468, 2
469, 3
470, 3
471, 5
472, 1
473, 3
474, 4
476, 3
477, 2
478, 3
480, 3
481, 1
482, 2
483, 1
484, 1
485, 3
487, 2
488, 2
489, 4
490, 3
491, 1
492, 1
493, 2
494, 1
495, 1
496, 2
497, 1
498, 1
499, 1
500, 2
501, 1
502, 1
503, 2
504, 1
505, 3
506, 1
507, 1
508, 2
509, 1
510, 4
511, 3
512, 3
513, 1
514, 1
515, 1
516, 2
517, 1
518, 2
519, 5
520, 3
521, 1
522, 1
523, 2
524, 1
525, 2
526, 2
527, 1
528, 2
530, 3
531, 1
532, 1
533, 2
534, 1
535, 3
536, 2
537, 2
538, 3
539, 1
541, 1
542, 1
543, 1
544, 3
545, 2
547, 2
548, 1
549, 3
551, 5
553, 1
554, 1
556, 4
557, 4
558, 1
559, 1
560, 1
561, 2
562, 1
563, 2
564, 1
565, 2
566, 2
567, 3
568, 1
569, 1
570, 2
571, 2
572, 1
574, 2
576, 1
578, 3
579, 2
581, 2
583, 1
585, 1
586, 2
588, 1
590, 2
591, 3
592, 1
593, 1
594, 1
595, 4
596, 1
597, 2
598, 3
600, 1
601, 1
602, 2
607, 2
608, 3
609, 1
611, 2
612, 1
613, 3
614, 2
617, 1
618, 1
619, 1
621, 1
622, 2
625, 2
626, 2
628, 2
629, 1
630, 1
634, 1
636, 1
637, 2
638, 1
640, 1
643, 1
644, 1
648, 1
651, 1
652, 1
654, 2
655, 2
659, 3
660, 1
661, 1
662, 2
664, 1
671, 2
673, 1
675, 1
676, 1
677, 1
678, 1
679, 4
681, 1
682, 2
683, 3
685, 1
691, 2
695, 1
696, 2
702, 2
703, 1
706, 3
707, 2
708, 1
709, 3
712, 2
714, 2
715, 1
716, 2
720, 2
721, 2
729, 1
731, 1
733, 1
734, 1
740, 1
745, 1
753, 2
754, 1
758, 1
761, 1
763, 1
766, 1
767, 1
770, 1
775, 1
776, 1
777, 1
785, 1
789, 1
791, 2
792, 1
796, 1
806, 1
818, 1
823, 1
824, 1
825, 1
828, 1
836, 1
839, 2
844, 1
845, 2
848, 2
849, 1
856, 1
858, 1
863, 2
871, 1
884, 1
898, 1
905, 1
907, 1
909, 1
915, 1
950, 1
951, 1
952, 1
965, 1
977, 1
978, 1
981, 1
984, 1
985, 1
987, 1
1017, 1
1030, 1
1070, 1
1093, 1
1133, 1
1142, 1
1143, 1
1162, 1
1181, 1
1218, 1
1240, 1
1243, 1
1268, 1
