Avalanche Movement, Number Avalanches
5, 125
6, 8464
7, 16401
8, 21740
9, 17370
10, 10759
11, 6262
12, 3568
13, 1932
14, 1114
15, 409
16, 850
17, 714
18, 635
19, 599
20, 573
21, 493
22, 439
23, 400
24, 308
25, 314
26, 305
27, 241
28, 249
29, 223
30, 204
31, 174
32, 139
33, 161
34, 151
35, 152
36, 131
37, 124
38, 121
39, 98
40, 81
41, 79
42, 87
43, 84
44, 62
45, 63
46, 70
47, 63
48, 40
49, 40
50, 42
51, 46
52, 41
53, 38
54, 44
55, 42
56, 27
57, 36
58, 25
59, 32
60, 24
61, 29
62, 28
63, 24
64, 22
65, 23
66, 13
67, 21
68, 17
69, 17
70, 16
71, 18
72, 19
73, 14
74, 7
75, 12
76, 17
77, 13
78, 16
79, 19
80, 15
81, 16
82, 11
83, 18
84, 7
85, 11
86, 8
87, 21
88, 10
89, 13
90, 18
91, 7
92, 14
93, 12
94, 13
95, 10
96, 7
97, 7
98, 9
99, 4
100, 6
101, 10
102, 11
103, 7
104, 11
105, 5
106, 6
107, 12
108, 8
109, 2
110, 6
111, 7
112, 8
113, 13
114, 9
115, 11
116, 9
117, 5
118, 5
119, 8
120, 11
121, 10
122, 6
123, 4
124, 7
125, 6
126, 7
127, 8
128, 6
129, 3
130, 3
131, 4
132, 2
133, 6
134, 6
135, 4
136, 5
137, 5
138, 9
139, 10
140, 7
141, 4
142, 5
143, 5
144, 8
145, 9
146, 2
147, 2
148, 8
149, 3
150, 7
151, 8
152, 3
153, 5
154, 4
155, 6
156, 7
157, 6
158, 4
159, 2
160, 8
161, 3
162, 4
163, 3
164, 6
165, 5
166, 8
167, 2
168, 6
169, 4
170, 4
171, 1
172, 4
173, 1
174, 7
175, 3
176, 2
177, 7
178, 4
179, 6
180, 4
181, 2
182, 4
183, 5
184, 8
185, 3
186, 3
187, 3
188, 3
189, 3
190, 5
191, 5
192, 4
193, 7
194, 3
195, 6
196, 3
197, 3
198, 9
199, 4
200, 6
201, 2
202, 4
203, 4
204, 6
205, 2
206, 1
207, 6
208, 4
209, 3
210, 3
211, 4
212, 8
213, 3
214, 3
216, 4
217, 2
218, 8
219, 6
220, 3
221, 2
222, 4
223, 7
224, 3
226, 1
227, 4
228, 3
229, 6
230, 5
231, 2
232, 3
233, 2
234, 3
235, 1
237, 7
238, 2
239, 1
240, 4
241, 3
242, 5
243, 5
244, 3
245, 2
246, 3
247, 2
248, 5
249, 3
250, 1
251, 4
252, 5
253, 5
254, 3
255, 3
256, 3
257, 1
258, 6
259, 5
260, 2
261, 4
262, 2
263, 5
264, 6
265, 3
266, 6
267, 2
268, 5
269, 2
270, 1
271, 2
272, 7
273, 5
274, 4
275, 4
276, 5
277, 1
278, 1
279, 4
280, 1
281, 6
283, 4
284, 2
285, 3
286, 4
287, 2
288, 1
289, 6
290, 5
291, 5
292, 2
293, 1
294, 3
295, 2
296, 4
297, 3
298, 3
299, 3
301, 2
302, 8
303, 3
304, 5
305, 4
306, 2
307, 2
308, 2
309, 3
310, 3
311, 1
312, 4
313, 2
314, 3
315, 2
316, 2
317, 1
318, 2
319, 1
320, 2
321, 2
322, 4
323, 2
324, 4
325, 3
326, 3
327, 4
328, 3
329, 5
330, 3
331, 2
333, 1
334, 1
335, 3
337, 1
338, 5
339, 1
340, 3
341, 3
342, 3
343, 2
344, 4
345, 1
346, 2
347, 1
348, 2
350, 1
351, 3
352, 3
353, 1
354, 3
355, 3
356, 2
357, 3
358, 2
359, 6
360, 2
361, 1
362, 2
363, 1
364, 2
365, 5
366, 6
367, 4
368, 4
369, 3
370, 4
371, 1
372, 3
373, 2
374, 3
375, 4
376, 3
377, 3
378, 2
379, 3
380, 6
381, 2
382, 2
383, 3
384, 3
385, 2
386, 2
387, 1
388, 6
389, 1
390, 3
391, 4
393, 1
394, 1
395, 4
396, 4
397, 3
398, 6
400, 3
401, 1
402, 1
403, 4
404, 3
405, 5
406, 1
407, 2
408, 4
409, 1
410, 5
411, 3
412, 1
413, 2
414, 5
415, 1
416, 1
417, 2
419, 4
420, 6
421, 1
422, 3
423, 1
424, 4
425, 2
426, 1
428, 4
429, 5
430, 4
431, 3
432, 4
434, 3
435, 3
436, 3
437, 2
438, 2
439, 1
440, 2
441, 5
442, 1
443, 7
444, 2
445, 2
446, 2
447, 2
448, 3
449, 2
450, 4
