Avalanche Magnitude, Number Avalanches
5, 125
6, 8464
7, 16401
8, 21726
9, 17327
10, 10662
11, 6109
12, 3391
13, 1772
14, 961
15, 234
16, 734
17, 602
18, 558
19, 485
20, 552
21, 405
22, 454
23, 325
24, 321
25, 253
26, 300
27, 176
28, 216
29, 162
30, 206
31, 124
32, 107
33, 154
34, 118
35, 99
36, 153
37, 68
38, 82
39, 97
40, 64
41, 33
42, 114
43, 40
44, 52
45, 68
46, 39
47, 29
48, 99
49, 9
50, 26
51, 34
52, 59
53, 6
54, 36
55, 10
56, 70
57, 23
58, 17
59, 6
60, 85
61, 8
62, 15
63, 17
64, 53
65, 13
66, 22
67, 1
68, 58
69, 18
70, 26
71, 4
72, 53
73, 2
74, 5
75, 47
76, 39
78, 15
79, 1
80, 60
81, 12
82, 3
84, 34
85, 21
86, 4
87, 16
88, 22
90, 45
92, 19
93, 8
94, 2
95, 32
96, 33
98, 2
99, 4
100, 41
102, 10
103, 1
104, 12
105, 27
106, 1
108, 34
110, 23
111, 9
112, 21
114, 15
115, 19
116, 11
117, 4
118, 1
119, 1
120, 41
123, 10
124, 10
125, 18
126, 17
128, 14
129, 9
130, 21
132, 20
133, 5
135, 22
136, 15
138, 9
140, 36
141, 4
144, 13
145, 13
146, 1
147, 7
148, 14
150, 16
152, 26
153, 3
154, 1
155, 9
156, 20
159, 2
160, 18
161, 1
162, 1
164, 8
165, 15
168, 19
170, 13
171, 8
172, 12
174, 5
175, 17
176, 14
177, 1
180, 38
182, 1
183, 2
184, 17
185, 21
186, 3
188, 7
189, 3
190, 4
192, 13
195, 14
196, 6
198, 3
200, 19
203, 1
204, 15
205, 10
207, 3
208, 13
210, 19
212, 5
213, 1
215, 8
216, 13
217, 3
220, 25
224, 3
225, 7
228, 12
230, 12
231, 5
232, 4
234, 9
235, 11
236, 4
237, 1
240, 14
243, 1
244, 5
245, 9
246, 1
248, 8
250, 5
252, 10
255, 13
256, 7
258, 1
260, 16
261, 2
264, 5
265, 13
266, 3
268, 4
270, 9
272, 3
273, 2
275, 10
276, 2
279, 3
280, 19
284, 3
285, 7
286, 1
287, 2
288, 5
290, 6
292, 1
294, 3
295, 9
296, 1
297, 3
300, 11
301, 2
304, 4
305, 4
306, 3
308, 1
310, 10
312, 5
315, 9
316, 1
318, 4
319, 2
320, 12
322, 5
324, 7
325, 5
328, 5
329, 1
330, 6
333, 4
335, 6
336, 3
340, 1
341, 1
342, 4
343, 2
344, 2
345, 3
348, 3
350, 4
351, 1
352, 5
354, 1
355, 2
356, 1
360, 10
363, 2
364, 1
365, 2
366, 2
368, 2
369, 3
370, 3
372, 5
374, 2
376, 2
377, 1
378, 6
380, 4
384, 3
385, 1
388, 2
390, 8
392, 5
395, 1
396, 2
399, 1
400, 4
402, 1
403, 1
405, 4
407, 2
408, 3
413, 1
414, 2
415, 6
416, 2
420, 4
423, 1
424, 1
425, 2
426, 2
427, 1
428, 1
430, 2
432, 8
438, 1
440, 6
441, 1
444, 1
445, 2
448, 7
450, 4
451, 1
455, 3
456, 3
459, 2
460, 3
462, 6
464, 3
468, 3
469, 2
470, 3
472, 3
475, 1
476, 3
477, 1
480, 6
486, 1
490, 1
496, 1
497, 1
498, 2
504, 5
505, 1
506, 2
507, 2
510, 2
511, 1
512, 3
516, 2
517, 1
520, 1
522, 3
528, 2
531, 1
532, 1
533, 1
535, 2
536, 2
539, 2
540, 4
544, 1
550, 4
552, 2
553, 2
555, 1
556, 1
558, 2
560, 1
564, 3
565, 1
567, 1
568, 1
570, 3
572, 1
576, 3
584, 1
585, 3
592, 1
600, 1
602, 1
603, 1
605, 2
609, 3
610, 1
611, 1
612, 2
616, 1
621, 1
624, 4
630, 8
632, 2
636, 1
637, 1
639, 1
640, 4
646, 2
648, 2
649, 1
656, 3
657, 2
660, 2
665, 1
672, 2
675, 4
680, 1
682, 1
684, 3
685, 1
688, 2
690, 1
693, 1
696, 2
697, 1
700, 1
702, 1
704, 2
705, 2
708, 2
710, 1
711, 1
715, 4
720, 6
726, 2
728, 2
730, 2
732, 2
735, 1
736, 1
738, 1
747, 3
748, 1
749, 1
750, 1
752, 1
756, 3
759, 1
760, 1
770, 1
774, 1
776, 1
783, 1
784, 3
790, 1
792, 2
795, 2
800, 2
801, 1
805, 1
808, 1
810, 2
812, 1
816, 2
819, 2
