Avalanche Grain Count,  Number Avalanches
1, 93690
2, 715
3, 614
4, 923
5, 798
6, 161
7, 113
8, 135
9, 106
10, 54
11, 58
12, 73
13, 61
14, 39
15, 57
16, 50
17, 36
18, 49
19, 42
20, 44
21, 47
22, 37
23, 35
24, 27
25, 27
26, 37
27, 33
28, 30
29, 27
30, 23
31, 27
32, 34
33, 26
34, 25
35, 20
36, 25
37, 17
38, 29
39, 20
40, 27
41, 18
42, 21
43, 23
44, 21
45, 23
46, 18
47, 22
48, 26
49, 24
50, 20
51, 26
52, 14
53, 14
54, 16
55, 22
56, 16
57, 17
58, 17
59, 22
60, 16
61, 22
62, 20
63, 22
64, 21
65, 14
66, 15
67, 18
68, 18
69, 20
70, 14
71, 15
72, 9
73, 11
74, 14
75, 22
76, 9
77, 18
78, 12
79, 11
80, 13
81, 15
82, 9
83, 6
84, 10
85, 15
86, 12
87, 11
88, 13
89, 11
90, 15
91, 14
92, 12
93, 11
94, 12
95, 11
96, 11
97, 12
98, 10
99, 12
100, 8
101, 8
102, 4
103, 7
104, 9
105, 12
106, 9
107, 5
108, 11
109, 7
110, 6
111, 7
112, 5
113, 10
114, 5
115, 11
116, 14
117, 11
118, 10
119, 8
120, 3
121, 10
122, 7
123, 10
124, 4
125, 7
126, 11
127, 8
128, 7
129, 10
130, 11
131, 5
132, 6
133, 7
134, 2
135, 8
136, 5
137, 2
138, 8
139, 2
140, 2
141, 5
142, 6
143, 7
144, 6
145, 5
146, 5
147, 2
148, 9
149, 5
150, 4
151, 3
152, 5
153, 3
154, 5
155, 8
156, 5
157, 3
158, 7
159, 9
160, 5
161, 2
162, 5
163, 2
164, 5
165, 7
166, 5
167, 3
168, 1
169, 3
170, 5
171, 2
172, 5
173, 3
174, 3
175, 3
176, 5
177, 2
178, 6
179, 3
180, 3
181, 3
182, 2
183, 4
184, 1
185, 2
186, 6
187, 2
188, 1
189, 2
190, 1
191, 4
192, 4
193, 4
194, 2
195, 1
196, 5
197, 3
198, 3
199, 2
200, 4
201, 2
203, 1
204, 2
205, 3
207, 1
208, 1
209, 1
210, 2
212, 1
213, 3
214, 1
215, 3
216, 2
217, 4
218, 4
220, 1
221, 2
222, 1
223, 3
224, 2
225, 1
226, 1
227, 1
230, 2
232, 1
233, 1
234, 2
235, 4
236, 2
237, 1
238, 4
239, 2
241, 1
242, 1
243, 1
244, 1
245, 1
246, 1
247, 1
248, 2
249, 1
250, 1
251, 2
252, 1
253, 1
254, 1
255, 2
256, 1
259, 2
260, 1
261, 1
262, 1
264, 1
265, 1
266, 1
267, 2
269, 1
272, 1
274, 1
286, 3
289, 2
290, 1
293, 1
294, 1
295, 2
299, 1
304, 1
308, 1
311, 1
312, 3
313, 2
314, 1
315, 1
317, 2
320, 1
323, 1
324, 1
330, 1
343, 1
354, 1
362, 1
365, 1
366, 1
368, 1
370, 1
371, 1
372, 1
376, 1
383, 1
395, 1
421, 1
460, 1
