Avalanche Magnitude, Number Avalanches
5, 4
6, 36
7, 100
8, 199
9, 330
10, 482
11, 635
12, 803
13, 905
14, 1017
15, 264
16, 9727
17, 8681
18, 7781
19, 7176
20, 6366
21, 5601
22, 5191
23, 4713
24, 4278
25, 3702
26, 3452
27, 2971
28, 2754
29, 2423
30, 2173
31, 1971
32, 1815
33, 1570
34, 1431
35, 1305
36, 1143
37, 984
38, 895
39, 858
40, 714
41, 581
42, 583
43, 472
44, 448
45, 391
46, 345
47, 323
48, 252
49, 256
50, 195
51, 187
52, 159
53, 149
54, 124
55, 134
56, 113
57, 110
58, 81
59, 83
60, 65
61, 74
62, 47
63, 41
64, 39
65, 36
66, 19
67, 29
68, 33
69, 21
70, 15
71, 17
72, 16
73, 15
74, 15
75, 11
76, 10
77, 4
78, 8
79, 4
80, 6
81, 7
82, 5
83, 1
84, 3
85, 2
86, 4
87, 1
90, 2
91, 3
92, 3
93, 1
95, 1
96, 1
98, 1
101, 1
102, 2
103, 1
