Avalanche Movement, Number Avalanches
2, 4881
3, 12796
4, 14617
5, 11561
6, 8044
7, 7964
8, 7725
9, 9413
10, 1625
11, 1283
12, 955
13, 803
14, 710
15, 611
16, 570
17, 567
18, 480
19, 466
20, 468
21, 408
22, 413
23, 371
24, 371
25, 362
26, 313
27, 328
28, 312
29, 277
30, 289
31, 265
32, 245
33, 252
34, 214
35, 200
36, 213
37, 196
38, 172
39, 198
40, 182
41, 180
42, 160
43, 160
44, 158
45, 139
46, 155
47, 129
48, 147
49, 128
50, 120
51, 131
52, 112
53, 113
54, 109
55, 118
56, 103
57, 110
58, 119
59, 99
60, 95
61, 98
62, 81
63, 85
64, 88
65, 81
66, 83
67, 78
68, 68
69, 66
70, 63
71, 57
72, 65
73, 69
74, 72
75, 61
76, 59
77, 49
78, 75
79, 79
80, 67
81, 60
82, 49
83, 46
84, 53
85, 55
86, 60
87, 40
88, 46
89, 47
90, 44
91, 38
92, 45
93, 45
94, 46
95, 32
96, 49
97, 54
98, 46
99, 47
100, 36
101, 39
102, 39
103, 36
104, 46
105, 40
106, 32
107, 28
108, 40
109, 50
110, 33
111, 31
112, 31
113, 34
114, 24
115, 34
116, 26
117, 35
118, 28
119, 31
120, 26
121, 29
122, 30
123, 36
124, 33
125, 20
126, 39
127, 25
128, 35
129, 35
130, 27
131, 21
132, 23
133, 24
134, 27
135, 28
136, 18
137, 19
138, 33
139, 26
140, 29
141, 22
142, 23
143, 20
144, 19
145, 24
146, 18
147, 13
148, 21
149, 16
150, 20
151, 18
152, 20
153, 16
154, 29
155, 18
156, 17
157, 16
158, 19
159, 24
160, 16
161, 8
162, 18
163, 24
164, 15
165, 21
166, 20
167, 14
168, 14
169, 14
170, 13
171, 10
172, 13
173, 26
174, 17
175, 10
176, 16
177, 25
178, 13
179, 17
180, 19
181, 13
182, 21
183, 11
184, 13
185, 14
186, 11
187, 10
188, 13
189, 13
190, 12
191, 12
192, 15
193, 17
194, 12
195, 15
196, 8
197, 9
198, 10
199, 21
200, 9
201, 11
202, 26
203, 16
204, 15
205, 14
206, 14
207, 16
208, 19
209, 9
210, 14
211, 13
212, 14
213, 9
214, 7
215, 11
216, 14
217, 9
218, 9
