Avalanche Grain Count,  Number Avalanches
1, 718535
2, 120943
3, 68615
4, 36852
5, 18125
6, 10743
7, 6358
8, 4189
9, 2799
10, 2026
11, 1500
12, 1163
13, 926
14, 713
15, 624
16, 567
17, 462
18, 412
19, 407
20, 349
21, 303
22, 307
23, 275
24, 227
25, 196
26, 184
27, 186
28, 156
29, 135
30, 107
31, 108
32, 125
33, 103
34, 89
35, 85
36, 75
37, 62
38, 62
39, 61
40, 55
41, 45
42, 49
43, 55
44, 47
45, 41
46, 41
47, 37
48, 22
49, 25
50, 26
51, 20
52, 18
53, 23
54, 27
55, 13
56, 20
57, 15
58, 17
59, 12
60, 27
61, 14
62, 16
63, 5
64, 10
65, 13
66, 12
67, 7
68, 4
69, 11
70, 8
71, 11
72, 5
73, 2
74, 6
75, 1
76, 9
77, 6
78, 3
79, 5
80, 6
81, 6
82, 2
83, 4
84, 3
85, 4
86, 1
87, 2
88, 2
89, 2
90, 5
91, 4
92, 1
94, 1
96, 2
97, 1
99, 2
100, 2
102, 2
103, 1
107, 2
110, 1
111, 1
121, 1
122, 1
130, 2
137, 1
155, 1
